word,stem,clicks_before,conversions_before,CVR_before_%,clicks_after,conversions_after,CVR_after_%,cost_after,p_value_decline
кастомізація,кастомізаці,0,0.0,,0,0.0,,0.0,
хантер,хантер,0,0.0,,0,0.0,,0.0,
флісовий,флісов,0,0.0,,0,0.0,,0.0,
банши,банш,0,0.0,,0,0.0,,0.0,
dias,dias,0,0.0,,0,0.0,,0.0,
vag,vag,0,0.0,,0,0.0,,0.0,
кутюр,кутюр,0,0.0,,0,0.0,,0.0,
пуллап,пуллап,0,0.0,,0,0.0,,0.0,
terranova,terranova,0,0.0,,0,0.0,,0.0,
postal,postal,0,0.0,,0,0.0,,0.0,
жінок,жінок,0,0.0,,0,0.0,,0.0,
authority,authority,0,0.0,,0,0.0,,0.0,
паши,паш,0,0.0,,0,0.0,,0.0,
дуже,дуж,0,0.0,,0,0.0,,0.0,
dnmx,dnmx,0,0.0,,0,0.0,,0.0,
roll,roll,0,0.0,,0,0.0,,0.0,
sweater,sweater,0,0.0,,0,0.0,,0.0,
combine,combine,0,0.0,,0,0.0,,0.0,
marnastini,marnastini,0,0.0,,0,0.0,,0.0,
повстанський,повстанськ,0,0.0,,0,0.0,,0.0,
boxraw,boxraw,0,0.0,,0,0.0,,0.0,
дзвоник,дзвоник,0,0.0,,0,0.0,,0.0,
sixtynine,sixtynine,0,0.0,,0,0.0,,0.0,
укрзалізниці,укрзалізниці,0,0.0,,0,0.0,,0.0,
clo,clo,6,0.0,0.0,0,0.0,,0.0,
mp01508bk,mp01508bk,0,0.0,,0,0.0,,0.0,
cow,cow,0,0.0,,0,0.0,,0.0,
боди,бод,0,0.0,,0,0.0,,0.0,
killswitch,killswitch,0,0.0,,0,0.0,,0.0,
тканині,тканині,0,0.0,,0,0.0,,0.0,
лох,лох,0,0.0,,0,0.0,,0.0,
вірю,вірю,0,0.0,,0,0.0,,0.0,
анджелес,анджелес,0,0.0,,0,0.0,,0.0,
vvs,vvs,0,0.0,,0,0.0,,0.0,
contour,contour,0,0.0,,0,0.0,,0.0,
оу74,оу74,0,0.0,,0,0.0,,0.0,
номерам,номер,0,0.0,,0,0.0,,0.0,
козаком,козак,0,0.0,,0,0.0,,0.0,
grenade,grenade,0,0.0,,0,0.0,,0.0,
cats,cats,0,0.0,,0,0.0,,0.0,
ynel,ynel,0,0.0,,0,0.0,,0.0,
cici,cici,0,0.0,,0,0.0,,0.0,
asus,asus,0,0.0,,0,0.0,,0.0,
kobzart,kobzart,0,0.0,,0,0.0,,0.0,
slazenger,slazenger,0,0.0,,0,0.0,,0.0,
oberig,oberig,0,0.0,,0,0.0,,0.0,
смыслом,смысл,0,0.0,,0,0.0,,0.0,
ons,ons,0,0.0,,0,0.0,,0.0,
sports,sports,0,0.0,,0,0.0,,0.0,
lovestore,lovestore,0,0.0,,0,0.0,,0.0,
гарри,гарр,0,0.0,,0,0.0,,0.0,
pocket,pocket,0,0.0,,0,0.0,,0.0,
гранд,гранд,0,0.0,,0,0.0,,0.0,
zipka,zipka,0,0.0,,0,0.0,,0.0,
ab3,ab3,0,0.0,,0,0.0,,0.0,
lovers,lovers,0,0.0,,0,0.0,,0.0,
weide,weide,0,0.0,,0,0.0,,0.0,
ввс,ввс,0,0.0,,0,0.0,,0.0,
miracles,miracles,0,0.0,,0,0.0,,0.0,
хлопців,хлопців,2,0.0,0.0,0,0.0,,0.0,
отъебись,отъеб,0,0.0,,0,0.0,,0.0,
xh7611,xh7611,0,0.0,,0,0.0,,0.0,
джузо,джуз,0,0.0,,0,0.0,,0.0,
наших,наш,0,0.0,,0,0.0,,0.0,
урбаніст,урбаніст,0,0.0,,0,0.0,,0.0,
alloff,alloff,0,0.0,,0,0.0,,0.0,
pride,pride,0,0.0,,0,0.0,,0.0,
sins,sins,0,0.0,,0,0.0,,0.0,
баленсиага,баленсиаг,0,0.0,,0,0.0,,0.0,
цим,цим,0,0.0,,0,0.0,,0.0,
wolfzeit,wolfzeit,0,0.0,,0,0.0,,0.0,
friday,friday,0,0.0,,0,0.0,,0.0,
скелетом,скелет,0,0.0,,0,0.0,,0.0,
take,take,0,0.0,,0,0.0,,0.0,
rockway,rockway,1,0.0,0.0,0,0.0,,0.0,
рейд,рейд,0,0.0,,0,0.0,,0.0,
валар,валар,0,0.0,,0,0.0,,0.0,
van,van,0,0.0,,0,0.0,,0.0,
лонгслів,лонгслів,1,0.0,0.0,0,0.0,,0.0,
steve,steve,0,0.0,,0,0.0,,0.0,
флісом,флісом,0,0.0,,0,0.0,,0.0,
фірми,фірми,0,0.0,,0,0.0,,0.0,
попор,попор,0,0.0,,0,0.0,,0.0,
objectx,objectx,0,0.0,,0,0.0,,0.0,
летние,летн,0,0.0,,0,0.0,,0.0,
located,located,0,0.0,,0,0.0,,0.0,
westculture,westculture,0,0.0,,0,0.0,,0.0,
муди,муд,0,0.0,,0,0.0,,0.0,
frontier,frontier,0,0.0,,0,0.0,,0.0,
synonyms,synonyms,0,0.0,,0,0.0,,0.0,
khm,khm,0,0.0,,0,0.0,,0.0,
день,ден,0,0.0,,0,0.0,,0.0,
леон,леон,0,0.0,,0,0.0,,0.0,
jester,jester,0,0.0,,0,0.0,,0.0,
блискавкою,блискавк,0,0.0,,0,0.0,,0.0,
вышитым,вышит,0,0.0,,0,0.0,,0.0,
шаман,шама,0,0.0,,0,0.0,,0.0,
мортал,морта,0,0.0,,0,0.0,,0.0,
військової,військової,0,0.0,,0,0.0,,0.0,
dobrovolets,dobrovolets,0,0.0,,0,0.0,,0.0,
каспи,касп,0,0.0,,0,0.0,,0.0,
работы,работ,0,0.0,,0,0.0,,0.0,
rainhouse,rainhouse,0,0.0,,0,0.0,,0.0,
ахіллес,ахіллес,0,0.0,,0,0.0,,0.0,
jinsovik,jinsovik,0,0.0,,0,0.0,,0.0,
psyshop,psyshop,0,0.0,,0,0.0,,0.0,
sclo,sclo,0,0.0,,0,0.0,,0.0,
скалолазание,скалолазан,0,0.0,,0,0.0,,0.0,
mikina,mikina,0,0.0,,0,0.0,,0.0,
eagle,eagle,0,0.0,,0,0.0,,0.0,
ostin,ostin,0,0.0,,0,0.0,,0.0,
salewa,salewa,0,0.0,,0,0.0,,0.0,
chet,chet,0,0.0,,0,0.0,,0.0,
wasted,wasted,0,0.0,,0,0.0,,0.0,
milk,milk,0,0.0,,0,0.0,,0.0,
реал,реа,0,0.0,,0,0.0,,0.0,
staycoldapparel,staycoldapparel,0,0.0,,0,0.0,,0.0,
калина,калин,0,0.0,,0,0.0,,0.0,
ward,ward,0,0.0,,0,0.0,,0.0,
apati,apati,0,0.0,,0,0.0,,0.0,
knicca,knicca,0,0.0,,0,0.0,,0.0,
птушкін,птушкін,0,0.0,,0,0.0,,0.0,
omanko,omanko,0,0.0,,0,0.0,,0.0,
стусси,стусс,0,0.0,,0,0.0,,0.0,
прикордонних,прикордон,0,0.0,,0,0.0,,0.0,
skepta,skepta,0,0.0,,0,0.0,,0.0,
sixnine,sixnine,0,0.0,,0,0.0,,0.0,
millennials,millennials,0,0.0,,0,0.0,,0.0,
потовідвідні,потовідвідні,0,0.0,,0,0.0,,0.0,
palm,palm,0,0.0,,0,0.0,,0.0,
тут,тут,0,0.0,,0,0.0,,0.0,
jack,jack,0,0.0,,0,0.0,,0.0,
кіт,кіт,0,0.0,,0,0.0,,0.0,
sevenfold,sevenfold,0,0.0,,0,0.0,,0.0,
air,air,0,0.0,,0,0.0,,0.0,
revenge,revenge,0,0.0,,0,0.0,,0.0,
mytets,mytets,0,0.0,,0,0.0,,0.0,
хеллоу,хелло,0,0.0,,0,0.0,,0.0,
хвостом,хвост,0,0.0,,0,0.0,,0.0,
parallel50th,parallel50th,0,0.0,,0,0.0,,0.0,
уляна,уля,0,0.0,,0,0.0,,0.0,
чем,чем,0,0.0,,0,0.0,,0.0,
марун,марун,0,0.0,,0,0.0,,0.0,
зализна,зализн,0,0.0,,0,0.0,,0.0,
дронів,дронів,0,0.0,,0,0.0,,0.0,
солдатів,солдатів,0,0.0,,0,0.0,,0.0,
kcd,kcd,0,0.0,,0,0.0,,0.0,
kelisiting,kelisiting,0,0.0,,0,0.0,,0.0,
тро,тро,0,0.0,,0,0.0,,0.0,
стильні,стильні,0,0.0,,0,0.0,,0.0,
hooligans,hooligans,0,0.0,,0,0.0,,0.0,
байдак,байдак,0,0.0,,0,0.0,,0.0,
флектарн,флектарн,0,0.0,,0,0.0,,0.0,
спорттайм,спорттайм,0,0.0,,0,0.0,,0.0,
megstore,megstore,0,0.0,,0,0.0,,0.0,
nazgul,nazgul,0,0.0,,0,0.0,,0.0,
підрозділу,підрозділ,0,0.0,,0,0.0,,0.0,
wildberries,wildberries,0,0.0,,0,0.0,,0.0,
long,long,0,0.0,,0,0.0,,0.0,
raging,raging,0,0.0,,0,0.0,,0.0,
овен,ов,0,0.0,,0,0.0,,0.0,
княгиня,княгин,0,0.0,,0,0.0,,0.0,
мотоциклиста,мотоциклист,0,0.0,,0,0.0,,0.0,
blackwear,blackwear,0,0.0,,0,0.0,,0.0,
doomsdayco,doomsdayco,0,0.0,,0,0.0,,0.0,
vendetta,vendetta,0,0.0,,0,0.0,,0.0,
master,master,0,0.0,,0,0.0,,0.0,
култоні,култоні,0,0.0,,0,0.0,,0.0,
дроноводи,дроновод,0,0.0,,0,0.0,,0.0,
ебашим,ебаш,0,0.0,,0,0.0,,0.0,
lauren,lauren,0,0.0,,0,0.0,,0.0,
begentelman,begentelman,0,0.0,,0,0.0,,0.0,
owners,owners,0,0.0,,0,0.0,,0.0,
if0488,if0488,0,0.0,,0,0.0,,0.0,
пирокинезис,пирокинезис,1,0.0,0.0,0,0.0,,0.0,
ragnarok,ragnarok,0,0.0,,0,0.0,,0.0,
devgru,devgru,0,0.0,,0,0.0,,0.0,
jesus,jesus,0,0.0,,0,0.0,,0.0,
cgjhnbdrb,cgjhnbdrb,0,0.0,,0,0.0,,0.0,
елемент,елемент,0,0.0,,0,0.0,,0.0,
ортодокс,ортодокс,0,0.0,,0,0.0,,0.0,
fami,fami,0,0.0,,0,0.0,,0.0,
duda,duda,0,0.0,,0,0.0,,0.0,
champions,champions,0,0.0,,0,0.0,,0.0,
osbourne,osbourne,0,0.0,,0,0.0,,0.0,
konflic,konflic,0,0.0,,0,0.0,,0.0,
дах,дах,0,0.0,,0,0.0,,0.0,
кто,кто,0,0.0,,0,0.0,,0.0,
garno,garno,0,0.0,,0,0.0,,0.0,
puff,puff,0,0.0,,0,0.0,,0.0,
savage,savage,0,0.0,,0,0.0,,0.0,
зіпо,зіпо,0,0.0,,0,0.0,,0.0,
maraton,maraton,0,0.0,,0,0.0,,0.0,
fucking,fucking,0,0.0,,0,0.0,,0.0,
comment,comment,0,0.0,,0,0.0,,0.0,
гло,гло,0,0.0,,0,0.0,,0.0,
assault,assault,0,0.0,,0,0.0,,0.0,
таргарієнів,таргарієнів,0,0.0,,0,0.0,,0.0,
verena,verena,0,0.0,,0,0.0,,0.0,
terror,terror,0,0.0,,0,0.0,,0.0,
yourturn,yourturn,0,0.0,,0,0.0,,0.0,
английском,английск,0,0.0,,0,0.0,,0.0,
bidon,bidon,0,0.0,,0,0.0,,0.0,
сагайдачний,сагайдачн,0,0.0,,0,0.0,,0.0,
утопія,утопі,0,0.0,,0,0.0,,0.0,
sportcity,sportcity,0,0.0,,0,0.0,,0.0,
сверхъестественное,сверхъестествен,1,0.0,0.0,0,0.0,,0.0,
momset,momset,0,0.0,,0,0.0,,0.0,
изображением,изображен,0,0.0,,0,0.0,,0.0,
темнозорь,темнозор,0,0.0,,0,0.0,,0.0,
absurd,absurd,0,0.0,,0,0.0,,0.0,
помста,помст,0,0.0,,0,0.0,,0.0,
logo,logo,0,0.0,,0,0.0,,0.0,
moyo,moyo,0,0.0,,0,0.0,,0.0,
zorski,zorski,0,0.0,,0,0.0,,0.0,
thick,thick,0,0.0,,0,0.0,,0.0,
hameleon,hameleon,0,0.0,,0,0.0,,0.0,
moschino,moschino,0,0.0,,0,0.0,,0.0,
марджела,марджел,0,0.0,,0,0.0,,0.0,
sweet,sweet,0,0.0,,0,0.0,,0.0,
9sm,9sm,0,0.0,,0,0.0,,0.0,
hollywood,hollywood,0,0.0,,0,0.0,,0.0,
бородой,бород,0,0.0,,0,0.0,,0.0,
вишня,вишн,0,0.0,,0,0.0,,0.0,
caseoh,caseoh,0,0.0,,0,0.0,,0.0,
рагнарек,рагнарек,0,0.0,,0,0.0,,0.0,
abstract,abstract,0,0.0,,0,0.0,,0.0,
saints,saints,0,0.0,,0,0.0,,0.0,
лос,лос,0,0.0,,0,0.0,,0.0,
why,why,0,0.0,,0,0.0,,0.0,
палке,палк,0,0.0,,0,0.0,,0.0,
трактором,трактор,0,0.0,,0,0.0,,0.0,
багі,багі,0,0.0,,0,0.0,,0.0,
киш,киш,0,0.0,,0,0.0,,0.0,
legendary,legendary,0,0.0,,0,0.0,,0.0,
волчок,волчок,0,0.0,,0,0.0,,0.0,
kashalot,kashalot,0,0.0,,0,0.0,,0.0,
триад,триад,0,0.0,,0,0.0,,0.0,
bavna,bavna,0,0.0,,0,0.0,,0.0,
сліпнот,сліпнот,0,0.0,,0,0.0,,0.0,
volcano,volcano,0,0.0,,0,0.0,,0.0,
decalius,decalius,0,0.0,,0,0.0,,0.0,
triton,triton,0,0.0,,0,0.0,,0.0,
прикордонників,прикордонників,0,0.0,,0,0.0,,0.0,
outsiders,outsiders,0,0.0,,0,0.0,,0.0,
прінтом,прінтом,0,0.0,,0,0.0,,0.0,
атака,атак,0,0.0,,0,0.0,,0.0,
luckyme,luckyme,0,0.0,,0,0.0,,0.0,
rouge,rouge,0,0.0,,0,0.0,,0.0,
skimir,skimir,0,0.0,,0,0.0,,0.0,
змія,змія,0,0.0,,0,0.0,,0.0,
медицинский,медицинск,0,0.0,,0,0.0,,0.0,
nirvana,nirvana,0,0.0,,0,0.0,,0.0,
футбол,футбол,0,0.0,,0,0.0,,0.0,
acronym,acronym,0,0.0,,0,0.0,,0.0,
валімарк,валімарк,0,0.0,,0,0.0,,0.0,
closer,closer,0,0.0,,0,0.0,,0.0,
сильным,сильн,0,0.0,,0,0.0,,0.0,
berlin,berlin,0,0.0,,0,0.0,,0.0,
coosh,coosh,0,0.0,,0,0.0,,0.0,
stretch,stretch,0,0.0,,0,0.0,,0.0,
ария,ар,0,0.0,,0,0.0,,0.0,
muted,muted,0,0.0,,0,0.0,,0.0,
alert,alert,0,0.0,,0,0.0,,0.0,
ладан,лада,0,0.0,,0,0.0,,0.0,
зимовий,зимов,0,0.0,,0,0.0,,0.0,
gorillaz,gorillaz,0,0.0,,0,0.0,,0.0,
skidan,skidan,0,0.0,,0,0.0,,0.0,
набор,набор,0,0.0,,0,0.0,,0.0,
shoes,shoes,0,0.0,,0,0.0,,0.0,
cactus,cactus,0,0.0,,0,0.0,,0.0,
старков,старк,0,0.0,,0,0.0,,0.0,
mcr,mcr,0,0.0,,0,0.0,,0.0,
валькнут,валькнут,0,0.0,,0,0.0,,0.0,
felpa,felpa,0,0.0,,0,0.0,,0.0,
балонові,балонові,0,0.0,,0,0.0,,0.0,
заказать,заказа,1,0.0,0.0,0,0.0,,0.0,
металкор,металкор,0,0.0,,0,0.0,,0.0,
union,union,0,0.0,,0,0.0,,0.0,
шрапнель,шрапнел,0,0.0,,0,0.0,,0.0,
узнать,узна,0,0.0,,0,0.0,,0.0,
криком,крик,0,0.0,,0,0.0,,0.0,
штурмової,штурмової,0,0.0,,0,0.0,,0.0,
прототайпс,прототайпс,0,0.0,,0,0.0,,0.0,
айспик,айспик,0,0.0,,0,0.0,,0.0,
танковый,танков,0,0.0,,0,0.0,,0.0,
авторські,авторські,0,0.0,,0,0.0,,0.0,
вампир,вампир,2,0.0,0.0,0,0.0,,0.0,
wolee,wolee,0,0.0,,0,0.0,,0.0,
параши,параш,0,0.0,,0,0.0,,0.0,
sweatpant,sweatpant,0,0.0,,0,0.0,,0.0,
rip,rip,0,0.0,,0,0.0,,0.0,
молодість,молодіст,0,0.0,,0,0.0,,0.0,
есирский,есирск,0,0.0,,0,0.0,,0.0,
вайлдберрис,вайлдберрис,0,0.0,,0,0.0,,0.0,
wow,wow,0,0.0,,0,0.0,,0.0,
александр,александр,0,0.0,,0,0.0,,0.0,
lanvin,lanvin,0,0.0,,0,0.0,,0.0,
дніпра,дніпра,0,0.0,,0,0.0,,0.0,
ratchet,ratchet,0,0.0,,0,0.0,,0.0,
унсо,унс,0,0.0,,0,0.0,,0.0,
cloth,cloth,0,0.0,,0,0.0,,0.0,
flash,flash,0,0.0,,0,0.0,,0.0,
magenta,magenta,0,0.0,,0,0.0,,0.0,
9mice,9mice,0,0.0,,0,0.0,,0.0,
badboysclub,badboysclub,0,0.0,,0,0.0,,0.0,
мамай,мама,0,0.0,,0,0.0,,0.0,
batiar,batiar,0,0.0,,0,0.0,,0.0,
лакоті,лакоті,0,0.0,,0,0.0,,0.0,
lidnm,lidnm,0,0.0,,0,0.0,,0.0,
маскою,маск,0,0.0,,0,0.0,,0.0,
prato,prato,0,0.0,,0,0.0,,0.0,
турбодізеля,турбодізел,0,0.0,,0,0.0,,0.0,
right,right,0,0.0,,0,0.0,,0.0,
наса,нас,0,0.0,,0,0.0,,0.0,
bloom,bloom,0,0.0,,0,0.0,,0.0,
клост,клост,0,0.0,,0,0.0,,0.0,
281z,281z,1,0.0,0.0,0,0.0,,0.0,
муай,муа,0,0.0,,0,0.0,,0.0,
нет,нет,0,0.0,,0,0.0,,0.0,
броніком,бронік,0,0.0,,0,0.0,,0.0,
каспер,каспер,0,0.0,,0,0.0,,0.0,
star,star,0,0.0,,0,0.0,,0.0,
doomsday,doomsday,0,0.0,,0,0.0,,0.0,
симбиоз,симбиоз,0,0.0,,0,0.0,,0.0,
трико,трик,1,0.0,0.0,0,0.0,,0.0,
hideo,hideo,0,0.0,,0,0.0,,0.0,
солдатом,солдат,0,0.0,,0,0.0,,0.0,
sindikat,sindikat,0,0.0,,0,0.0,,0.0,
исповедь,исповед,0,0.0,,0,0.0,,0.0,
last,last,0,0.0,,0,0.0,,0.0,
dushnila,dushnila,0,0.0,,0,0.0,,0.0,
дабхьюманс,дабхьюманс,0,0.0,,0,0.0,,0.0,
150,150,0,0.0,,0,0.0,,0.0,
madjo,madjo,0,0.0,,0,0.0,,0.0,
пла4,пла4,0,0.0,,0,0.0,,0.0,
yung,yung,0,0.0,,0,0.0,,0.0,
вільного,вільног,1,0.0,0.0,0,0.0,,0.0,
ogonpushka,ogonpushka,2,0.0,0.0,0,0.0,,0.0,
873,873,0,0.0,,0,0.0,,0.0,
shameless,shameless,0,0.0,,0,0.0,,0.0,
monatik,monatik,0,0.0,,0,0.0,,0.0,
украині,украині,0,0.0,,0,0.0,,0.0,
glitch,glitch,0,0.0,,0,0.0,,0.0,
yarikk,yarikk,0,0.0,,0,0.0,,0.0,
медіціне,медіцін,0,0.0,,0,0.0,,0.0,
біфрі,біфрі,0,0.0,,0,0.0,,0.0,
ходячие,ходяч,0,0.0,,0,0.0,,0.0,
дастин,дастин,0,0.0,,0,0.0,,0.0,
стастон,стастон,0,0.0,,0,0.0,,0.0,
desire,desire,0,0.0,,0,0.0,,0.0,
камнями,камн,0,0.0,,0,0.0,,0.0,
twins,twins,0,0.0,,0,0.0,,0.0,
romanovashop,romanovashop,0,0.0,,0,0.0,,0.0,
фоп,фоп,0,0.0,,0,0.0,,0.0,
redivision,redivision,0,0.0,,0,0.0,,0.0,
mulisha,mulisha,0,0.0,,0,0.0,,0.0,
oli,oli,1,0.0,0.0,0,0.0,,0.0,
керівника,керівник,0,0.0,,0,0.0,,0.0,
двох,двох,0,0.0,,0,0.0,,0.0,
tuda,tuda,0,0.0,,0,0.0,,0.0,
вовків,вовків,0,0.0,,0,0.0,,0.0,
промокаючі,промокаючі,0,0.0,,0,0.0,,0.0,
амур,амур,0,0.0,,0,0.0,,0.0,
supreme,supreme,1,0.0,0.0,0,0.0,,0.0,
cropped,cropped,0,0.0,,0,0.0,,0.0,
осенние,осен,2,0.0,0.0,0,0.0,,0.0,
дейл,дейл,0,0.0,,0,0.0,,0.0,
эффект,эффект,0,0.0,,0,0.0,,0.0,
hq8135,hq8135,0,0.0,,0,0.0,,0.0,
валькирия,валькир,0,0.0,,0,0.0,,0.0,
hircost,hircost,0,0.0,,0,0.0,,0.0,
shibuya,shibuya,0,0.0,,0,0.0,,0.0,
pauli,pauli,0,0.0,,0,0.0,,0.0,
життя,житт,0,0.0,,0,0.0,,0.0,
вимпел,вимпел,0,0.0,,0,0.0,,0.0,
белый,бел,0,0.0,,0,0.0,,0.0,
von,von,0,0.0,,0,0.0,,0.0,
ебанат,ебанат,0,0.0,,0,0.0,,0.0,
алматы,алмат,0,0.0,,0,0.0,,0.0,
правор,правор,0,0.0,,0,0.0,,0.0,
жинкин,жинкин,0,0.0,,0,0.0,,0.0,
грав,грав,0,0.0,,0,0.0,,0.0,
newbornk,newbornk,0,0.0,,0,0.0,,0.0,
яверета,яверет,0,0.0,,0,0.0,,0.0,
brave,brave,1,0.0,0.0,0,0.0,,0.0,
бурзум,бурзум,0,0.0,,0,0.0,,0.0,
шелковые,шелков,0,0.0,,0,0.0,,0.0,
march,march,0,0.0,,0,0.0,,0.0,
stahova,stahova,0,0.0,,0,0.0,,0.0,
ayugi,ayugi,0,0.0,,0,0.0,,0.0,
такі,такі,0,0.0,,0,0.0,,0.0,
uto,uto,0,0.0,,0,0.0,,0.0,
сич,сич,0,0.0,,0,0.0,,0.0,
artiemaster,artiemaster,0,0.0,,0,0.0,,0.0,
soft,soft,0,0.0,,0,0.0,,0.0,
руник,руник,1,0.0,0.0,0,0.0,,0.0,
wall,wall,0,0.0,,0,0.0,,0.0,
prj450,prj450,0,0.0,,0,0.0,,0.0,
teiwaz,teiwaz,0,0.0,,0,0.0,,0.0,
genderless,genderless,0,0.0,,0,0.0,,0.0,
домашние,домашн,0,0.0,,0,0.0,,0.0,
борат,борат,0,0.0,,0,0.0,,0.0,
2033,2033,0,0.0,,0,0.0,,0.0,
gbc,gbc,0,0.0,,0,0.0,,0.0,
farfire,farfire,0,0.0,,0,0.0,,0.0,
imagine,imagine,0,0.0,,0,0.0,,0.0,
backyard,backyard,0,0.0,,0,0.0,,0.0,
asics,asics,0,0.0,,0,0.0,,0.0,
crewsupplyco,crewsupplyco,0,0.0,,0,0.0,,0.0,
муслінові,муслінові,0,0.0,,0,0.0,,0.0,
фьер,фьер,0,0.0,,0,0.0,,0.0,
non,non,0,0.0,,0,0.0,,0.0,
настоящий,настоя,0,0.0,,0,0.0,,0.0,
тиесто,тиест,0,0.0,,0,0.0,,0.0,
prefix,prefix,0,0.0,,0,0.0,,0.0,
coil,coil,0,0.0,,0,0.0,,0.0,
beartooth,beartooth,0,0.0,,0,0.0,,0.0,
pinkfong,pinkfong,0,0.0,,0,0.0,,0.0,
uglycool,uglycool,0,0.0,,0,0.0,,0.0,
refreshed,refreshed,0,0.0,,0,0.0,,0.0,
diego,diego,0,0.0,,0,0.0,,0.0,
грушенька,грушеньк,0,0.0,,0,0.0,,0.0,
skill,skill,1,0.0,0.0,0,0.0,,0.0,
свага,сваг,0,0.0,,0,0.0,,0.0,
плейбой,плейб,0,0.0,,0,0.0,,0.0,
gentleman,gentleman,0,0.0,,0,0.0,,0.0,
sixtynineshirt,sixtynineshirt,0,0.0,,0,0.0,,0.0,
flowing,flowing,0,0.0,,0,0.0,,0.0,
рвется,рвет,0,0.0,,0,0.0,,0.0,
tolerance,tolerance,0,0.0,,0,0.0,,0.0,
это,эт,0,0.0,,0,0.0,,0.0,
side,side,0,0.0,,0,0.0,,0.0,
koza,koza,0,0.0,,0,0.0,,0.0,
качественные,качествен,0,0.0,,0,0.0,,0.0,
sort,sort,0,0.0,,0,0.0,,0.0,
firefighter,firefighter,0,0.0,,0,0.0,,0.0,
yourself,yourself,0,0.0,,0,0.0,,0.0,
sally,sally,0,0.0,,0,0.0,,0.0,
begentle,begentle,0,0.0,,0,0.0,,0.0,
humans,humans,0,0.0,,0,0.0,,0.0,
одесские,одесск,0,0.0,,0,0.0,,0.0,
mystery,mystery,0,0.0,,0,0.0,,0.0,
scorpion,scorpion,0,0.0,,0,0.0,,0.0,
nothing,nothing,0,0.0,,0,0.0,,0.0,
нашивками,нашивк,1,0.0,0.0,0,0.0,,0.0,
пес,пес,0,0.0,,0,0.0,,0.0,
benjamin,benjamin,0,0.0,,0,0.0,,0.0,
rvca,rvca,0,0.0,,0,0.0,,0.0,
wang,wang,0,0.0,,0,0.0,,0.0,
штурмовік,штурмовік,0,0.0,,0,0.0,,0.0,
мармока,мармок,0,0.0,,0,0.0,,0.0,
марунова,марунов,0,0.0,,0,0.0,,0.0,
бим,бим,0,0.0,,0,0.0,,0.0,
gizzard,gizzard,0,0.0,,0,0.0,,0.0,
maneskin,maneskin,0,0.0,,0,0.0,,0.0,
птср,птср,0,0.0,,0,0.0,,0.0,
mnky,mnky,0,0.0,,0,0.0,,0.0,
труссарди,труссард,0,0.0,,0,0.0,,0.0,
preston,preston,0,0.0,,0,0.0,,0.0,
liquid,liquid,0,0.0,,0,0.0,,0.0,
green,green,0,0.0,,0,0.0,,0.0,
cranium,cranium,0,0.0,,0,0.0,,0.0,
uzun,uzun,0,0.0,,0,0.0,,0.0,
лдпр,лдпр,0,0.0,,0,0.0,,0.0,
рабочая,рабоч,0,0.0,,0,0.0,,0.0,
nasa,nasa,0,0.0,,0,0.0,,0.0,
kroki,kroki,0,0.0,,0,0.0,,0.0,
бойові,бойові,0,0.0,,0,0.0,,0.0,
монокло,монокл,0,0.0,,0,0.0,,0.0,
crime,crime,0,0.0,,0,0.0,,0.0,
semesyuk,semesyuk,0,0.0,,0,0.0,,0.0,
лакор,лакор,0,0.0,,0,0.0,,0.0,
way,way,1,0.0,0.0,0,0.0,,0.0,
neck,neck,0,0.0,,0,0.0,,0.0,
хоругва,хоругв,1,0.0,0.0,0,0.0,,0.0,
kkaitew,kkaitew,0,0.0,,0,0.0,,0.0,
create,create,0,0.0,,0,0.0,,0.0,
тактичні,тактичні,1,0.0,0.0,0,0.0,,0.0,
beomdesign,beomdesign,0,0.0,,0,0.0,,0.0,
саша,саш,0,0.0,,0,0.0,,0.0,
юрій,юрі,0,0.0,,0,0.0,,0.0,
malfini,malfini,0,0.0,,0,0.0,,0.0,
arckanum,arckanum,0,0.0,,0,0.0,,0.0,
woven,woven,0,0.0,,0,0.0,,0.0,
вискозные,вискозн,0,0.0,,0,0.0,,0.0,
лаконичная,лаконичн,0,0.0,,0,0.0,,0.0,
mattini,mattini,0,0.0,,0,0.0,,0.0,
hysta,hysta,0,0.0,,0,0.0,,0.0,
margiela,margiela,0,0.0,,0,0.0,,0.0,
братишка,братишк,0,0.0,,0,0.0,,0.0,
demilich,demilich,0,0.0,,0,0.0,,0.0,
змейке,змейк,1,0.0,0.0,0,0.0,,0.0,
gym,gym,0,0.0,,0,0.0,,0.0,
online,online,0,0.0,,0,0.0,,0.0,
монети,монет,0,0.0,,0,0.0,,0.0,
pace,pace,0,0.0,,0,0.0,,0.0,
кишенями,кишен,0,0.0,,0,0.0,,0.0,
begentelmen,begentelmen,0,0.0,,0,0.0,,0.0,
депо,деп,0,0.0,,0,0.0,,0.0,
okean,okean,0,0.0,,0,0.0,,0.0,
beezet,beezet,0,0.0,,0,0.0,,0.0,
best,best,0,0.0,,0,0.0,,0.0,
bayrak,bayrak,0,0.0,,0,0.0,,0.0,
рыбалкой,рыбалк,0,0.0,,0,0.0,,0.0,
мисс,мисс,0,0.0,,0,0.0,,0.0,
valkyrie,valkyrie,0,0.0,,0,0.0,,0.0,
merch,merch,3,0.0,0.0,0,0.0,,0.0,
damir,damir,0,0.0,,0,0.0,,0.0,
