Campaign,AdGroup,SearchTerm,Impressions,Clicks,Cost,Conversions_period_from,Conversions
Пошук \ Одяг,штани,купити військові штани,6,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,купити військові штани зсу,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,купити військові штани піксель,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,купити чоловічі штани мілітарі,2,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,купити штани зсу літні,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,купити штани мілітарі,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,купить військові штани,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,купить пиксельные штаны зсу,2,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,купить штани військові,2,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,купить штаны милитари мужские,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,купить штаны пиксель зсу тактические,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,штани,штани зсу купити,3,0,0.0,2026-07-09,0.0
Пошук \ Одяг,шорти,купити шорти військові,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,шорти,купить шорты зсу,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,замовити патріотичні футболки,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,зсу футболка купить,2,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,купити мілітарі футболку,2,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,купити футболки патріотичні,5,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,купити футболки чоловічі військові,2,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,купити футболку зсу,2,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,купити футболку зсу з принтом,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,купити футболку мілітарі,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,купити футболку неймара,7,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,купити футболку поло зсу,2,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,купить мужскую футболку милитари,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,купить патріотичні футболки,4,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,купить футболку кортез,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,патриотические футболки для детей,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,патріотичні футболки купити,9,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,патріотичні футболки купити недорого,4,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,поло зсу купить,2,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,футболка зсу с крестом купить,1,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,футболка поло зсу купити,3,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,футболка поло зсу купить украина,11,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,футболка поло олива зсу купить,4,0,0.0,2026-07-09,0.0
Пошук \ Одяг,Футболки,футболки військові купити,10,0,0.0,2026-07-09,0.0
