term,campaign,impressions,clicks,cost,conversions
zoho худі,Merchant_Shopping,5,0,0.0,0.0
zwyntar shop,Merchant_Shopping,30,0,0.0,0.0
аберкромби,Merchant_Shopping,3,0,0.0,0.0
абрамс,Merchant_Shopping,4,0,0.0,0.0
абрамс футболки,Merchant_Shopping,2,0,0.0,0.0
авеню монтень худи,Merchant_Shopping,3,0,0.0,0.0
авиация галичини,Merchant_Shopping,2,0,0.0,0.0
авиация галичины,Merchant_Shopping,15,0,0.0,0.0
авиация галичины магазин киев,Merchant_Shopping,1,0,0.0,0.0
авиація галичини,Merchant_Shopping,1,0,0.0,0.0
авто флаги,Merchant_Shopping,2,0,0.0,0.0
авіація,Merchant_Shopping,1,0,0.0,0.0
авіація галичина,Merchant_Shopping,1,0,0.0,0.0
авіація галичина футболка,Merchant_Shopping,1,0,0.0,0.0
авіація галичини,Merchant_Shopping,62,0,0.0,0.0
авіація галичини київ,Merchant_Shopping,1,0,0.0,0.0
авіація галичини сайт,Merchant_Shopping,1,0,0.0,0.0
авіація галичини футболка,Merchant_Shopping,1,0,0.0,0.0
авіація галичини футболки,Merchant_Shopping,2,0,0.0,0.0
авіація галичини худі,Merchant_Shopping,6,0,0.0,0.0
агітаційні плакати зсу,Merchant_Shopping,1,0,0.0,0.0
адаптивні штани чоловічі,Merchant_Shopping,1,1,22.03,0.0
адидас кофта женская,Merchant_Shopping,1,0,0.0,0.0
азов 10,Merchant_Shopping,1,0,0.0,0.0
азов 10 років футболка,Merchant_Shopping,3,0,0.0,0.0
азов ван мерч,Merchant_Shopping,1,0,0.0,0.0
азов магазин,Merchant_Shopping,1,0,0.0,0.0
азов мерч,Merchant_Shopping,5,0,0.0,0.0
азов прапор,Merchant_Shopping,8,0,0.0,0.0
азов футболка,Merchant_Shopping,5,0,0.0,0.0
азов це любов футболка,Merchant_Shopping,1,0,0.0,0.0
азов шоп,Merchant_Shopping,1,0,0.0,0.0
азовсталь футболка,Merchant_Shopping,1,0,0.0,0.0
акула бэби шарк,Merchant_Shopping,2,0,0.0,0.0
альфа индастриз худи,Merchant_Shopping,1,0,0.0,0.0
альфа кофта,Merchant_Shopping,1,0,0.0,0.0
анархия футболка,Merchant_Shopping,1,0,0.0,0.0
анатомія дрона,Merchant_Shopping,1,0,0.0,0.0
андеграунд кофта,Merchant_Shopping,1,0,0.0,0.0
андерграунд одежда,Merchant_Shopping,2,0,0.0,0.0
анти сошиал сошиал клаб,Merchant_Shopping,1,0,0.0,0.0
антисоциал про,Merchant_Shopping,1,0,0.0,0.0
антисошиал про,Merchant_Shopping,2,0,0.0,0.0
анімалізм,Merchant_Shopping,5,0,0.0,0.0
анімалізм шоп,Merchant_Shopping,1,0,0.0,0.0
аніруш,Merchant_Shopping,9,0,0.0,0.0
апатія мерч,Merchant_Shopping,1,0,0.0,0.0
апачі сорочки,Merchant_Shopping,1,0,0.0,0.0
арапор,Merchant_Shopping,23,0,0.0,0.0
армія мова віра футболка,Merchant_Shopping,1,0,0.0,0.0
арта шеврон,Merchant_Shopping,1,0,0.0,0.0
артан,Merchant_Shopping,1,0,0.0,0.0
атрибуты бабы яги,Merchant_Shopping,1,0,0.0,0.0
ауе баста,Merchant_Shopping,1,0,0.0,0.0
аутизм футболка,Merchant_Shopping,1,0,0.0,0.0
ахуєно,Merchant_Shopping,2,0,0.0,0.0
ахілес магазин,Merchant_Shopping,3,0,0.0,0.0
ахіллес магазин,Merchant_Shopping,3,0,0.0,0.0
баба баба,Merchant_Shopping,1,0,0.0,0.0
баба яга,Merchant_Shopping,38,0,0.0,0.0
баба яга в ступе,Merchant_Shopping,1,0,0.0,0.0
баба яга игрушка,Merchant_Shopping,2,0,0.0,0.0
баба яга купити,Merchant_Shopping,7,0,0.0,0.0
баба яга купить,Merchant_Shopping,3,0,0.0,0.0
баба яга настоящая,Merchant_Shopping,1,0,0.0,0.0
баба яга фото,Merchant_Shopping,1,0,0.0,0.0
баба яга іграшка,Merchant_Shopping,3,0,0.0,0.0
бабай шоп,Merchant_Shopping,7,0,0.0,0.0
бабаяга,Merchant_Shopping,1,0,0.0,0.0
бабя яга,Merchant_Shopping,1,0,0.0,0.0
бавна,Merchant_Shopping,1,0,0.0,0.0
багги спортивные штаны,Merchant_Shopping,2,0,0.0,0.0
багги спортивные штаны мужские,Merchant_Shopping,1,0,0.0,0.0
багги штаны,Merchant_Shopping,2,0,0.0,0.0
багги штаны мужские,Merchant_Shopping,5,0,0.0,0.0
багги штаны спортивные,Merchant_Shopping,2,0,0.0,0.0
баггі спортивні штани,Merchant_Shopping,4,0,0.0,0.0
баггі штани,Merchant_Shopping,1,0,0.0,0.0
багі штани,Merchant_Shopping,1,0,0.0,0.0
базова чоловіча футболка,Merchant_Shopping,1,0,0.0,0.0
базовая мужская одежда,Merchant_Shopping,1,0,0.0,0.0
базовые спортивные штаны,Merchant_Shopping,1,0,0.0,0.0
базовые футболки,Merchant_Shopping,1,0,0.0,0.0
базука шоп,Merchant_Shopping,1,0,0.0,0.0
байкерская толстовка,Merchant_Shopping,3,0,0.0,0.0
байкерские футболки,Merchant_Shopping,4,0,0.0,0.0
байкерська футболка,Merchant_Shopping,1,0,0.0,0.0
байковые штаны,Merchant_Shopping,2,0,0.0,0.0
балабола,Merchant_Shopping,1,0,0.0,0.0
балак,Merchant_Shopping,2,0,0.0,0.0
балахон,Merchant_Shopping,3,0,0.0,0.0
балахон мужской,Merchant_Shopping,1,1,15.91,0.0
бамбас футболка,Merchant_Shopping,5,0,0.0,0.0
бандера мілітарі,Merchant_Shopping,1,0,0.0,0.0
бандера футболка,Merchant_Shopping,1,0,0.0,0.0
банери,Merchant_Shopping,1,0,0.0,0.0
банери для військових,Merchant_Shopping,1,0,0.0,0.0
банери зсу,Merchant_Shopping,3,0,0.0,0.0
батник,Merchant_Shopping,3,0,0.0,0.0
батюшка футболка,Merchant_Shopping,1,0,0.0,0.0
беггі штани,Merchant_Shopping,2,0,0.0,0.0
беги джинсы,Merchant_Shopping,1,0,0.0,0.0
беги джинсы мужские,Merchant_Shopping,1,0,0.0,0.0
беги штани,Merchant_Shopping,4,0,0.0,0.0
беги штаны,Merchant_Shopping,1,0,0.0,0.0
беги штаны мужские,Merchant_Shopping,1,0,0.0,0.0
бегі спортивні штани,Merchant_Shopping,1,0,0.0,0.0
бегі штани,Merchant_Shopping,3,0,0.0,0.0
бед бой,Merchant_Shopping,3,0,0.0,0.0
бед бой компани,Merchant_Shopping,1,0,0.0,0.0
безет,Merchant_Shopping,5,0,0.0,0.0
беня зубрик,Merchant_Shopping,2,0,0.0,0.0
беня и зубрик,Merchant_Shopping,13,0,0.0,0.0
беня і зубрик,Merchant_Shopping,1,0,0.0,0.0
беня і зубрік,Merchant_Shopping,2,0,0.0,0.0
бершка,Merchant_Shopping,5,0,0.0,0.0
бершка сайт,Merchant_Shopping,1,0,0.0,0.0
биг босс,Merchant_Shopping,1,0,0.0,0.0
биг сэм киев,Merchant_Shopping,1,0,0.0,0.0
блакитне худі жіноче,Merchant_Shopping,3,0,0.0,0.0
блакитно чорний прапор,Merchant_Shopping,1,0,0.0,0.0
блатосфера,Merchant_Shopping,1,0,0.0,0.0
блатосфера футболки,Merchant_Shopping,1,0,0.0,0.0
блокнот дснс,Merchant_Shopping,1,0,0.0,0.0
блэк метал мерч,Merchant_Shopping,2,0,0.0,0.0
бобка кофта,Merchant_Shopping,1,0,0.0,0.0
богатырь интернет магазин,Merchant_Shopping,1,0,0.0,0.0
богема ленинград худи,Merchant_Shopping,8,0,0.0,0.0
боженька футболка,Merchant_Shopping,1,0,0.0,0.0
бойовий прапор,Merchant_Shopping,33,0,0.0,0.0
большие черные футболки,Merchant_Shopping,1,0,0.0,0.0
большие штаны,Merchant_Shopping,2,0,0.0,0.0
большой флаг украины,Merchant_Shopping,1,0,0.0,0.0
бомбер с черепом,Merchant_Shopping,1,0,0.0,0.0
бордовая толстовка мужская,Merchant_Shopping,1,0,0.0,0.0
бордове худі,Merchant_Shopping,1,0,0.0,0.0
боріва,Merchant_Shopping,1,0,0.0,0.0
братство мерч,Merchant_Shopping,6,0,0.0,0.0
брелок дснс,Merchant_Shopping,2,0,0.0,0.0
бренд pohuy,Merchant_Shopping,1,0,0.0,0.0
бренд кусака,Merchant_Shopping,2,0,0.0,0.0
бренд одягу апачі,Merchant_Shopping,1,0,0.0,0.0
бренд ярослава амосова,Merchant_Shopping,1,0,0.0,0.0
бренди українського одягу,Merchant_Shopping,1,0,0.0,0.0
брендовые худи мужские,Merchant_Shopping,1,0,0.0,0.0
брендові худі,Merchant_Shopping,1,0,0.0,0.0
брендові худі чоловічі,Merchant_Shopping,3,0,0.0,0.0
бренды одежды в украине,Merchant_Shopping,1,0,0.0,0.0
бруталмен,Merchant_Shopping,8,0,0.0,0.0
брюки,Merchant_Shopping,2,0,0.0,0.0
брюки банани,Merchant_Shopping,1,0,0.0,0.0
брюки великих розмірів,Merchant_Shopping,1,0,0.0,0.0
брюки джогери чоловічі,Merchant_Shopping,1,0,0.0,0.0
брюки и футболка,Merchant_Shopping,1,0,0.0,0.0
брюки мужские,Merchant_Shopping,4,0,0.0,0.0
брюки мужские широкие,Merchant_Shopping,1,0,0.0,0.0
брюки палаццо,Merchant_Shopping,1,0,0.0,0.0
брюки рашгард,Merchant_Shopping,1,0,0.0,0.0
брюки спортивні чоловічі,Merchant_Shopping,1,0,0.0,0.0
брюки черные,Merchant_Shopping,1,0,0.0,0.0
брюки широкого кроя,Merchant_Shopping,1,0,0.0,0.0
був 300,Merchant_Shopping,1,0,0.0,0.0
був 300 футболка,Merchant_Shopping,1,0,0.0,0.0
буду бренд,Merchant_Shopping,1,0,0.0,0.0
булава одежда,Merchant_Shopping,3,0,0.0,0.0
бумбокс мерч,Merchant_Shopping,1,0,0.0,0.0
бумбокс мерч купити,Merchant_Shopping,5,0,0.0,0.0
бунтар,Merchant_Shopping,1,0,0.0,0.0
бути добру,Merchant_Shopping,2,0,0.0,0.0
бути добру мерч,Merchant_Shopping,2,0,0.0,0.0
бэгги спортивки,Merchant_Shopping,1,0,0.0,0.0
бэгги спортивки мужские,Merchant_Shopping,1,0,0.0,0.0
біг бос,Merchant_Shopping,1,0,0.0,0.0
бігус мерч,Merchant_Shopping,3,0,0.0,0.0
бізет,Merchant_Shopping,1,0,0.0,0.0
вайкики,Merchant_Shopping,1,0,0.0,0.0
вайт бой,Merchant_Shopping,1,0,0.0,0.0
вальхейм мерч,Merchant_Shopping,1,0,0.0,0.0
вампір,Merchant_Shopping,36,1,2.71,0.0
вампір купити,Merchant_Shopping,2,0,0.0,0.0
варена футболка жіноча,Merchant_Shopping,1,0,0.0,0.0
вархаммер футболка,Merchant_Shopping,2,0,0.0,0.0
велиет,Merchant_Shopping,1,0,0.0,0.0
велмет,Merchant_Shopping,1,0,0.0,0.0
вельветовые широкие штаны,Merchant_Shopping,1,0,0.0,0.0
вельветові штани чоловічі,Merchant_Shopping,1,0,0.0,0.0
велюровые штаны мужские,Merchant_Shopping,1,0,0.0,0.0
велюрові спортивні штани,Merchant_Shopping,2,0,0.0,0.0
версаче худи,Merchant_Shopping,1,0,0.0,0.0
вертикальний прапор україни,Merchant_Shopping,2,0,0.0,0.0
ветмо,Merchant_Shopping,3,0,0.0,0.0
ветровка ripndip,Merchant_Shopping,1,0,0.0,0.0
вещи оверсайз мужские,Merchant_Shopping,1,0,0.0,0.0
виварене худі,Merchant_Shopping,1,0,0.0,0.0
виготовлення вимпелів,Merchant_Shopping,4,0,0.0,0.0
виготовлення прапорів,Merchant_Shopping,27,0,0.0,0.0
виготовлення прапорів на замовлення,Merchant_Shopping,7,0,0.0,0.0
види прапорів,Merchant_Shopping,4,0,0.0,0.0
виды кофт мужских,Merchant_Shopping,4,0,0.0,0.0
виндеры флаги,Merchant_Shopping,1,0,0.0,0.0
вишивка на худі,Merchant_Shopping,4,0,0.0,0.0
вкорочене зіп худі,Merchant_Shopping,1,0,0.0,0.0
вовки да вінчі мерч,Merchant_Shopping,2,0,0.0,0.0
вогонь запеклих не пече футболка,Merchant_Shopping,1,0,0.0,0.0
военная кофта,Merchant_Shopping,3,0,0.0,0.0
военная одежда,Merchant_Shopping,3,0,0.0,0.0
военная футболка,Merchant_Shopping,2,0,0.0,0.0
военная футболка с принтом,Merchant_Shopping,3,0,0.0,0.0
военная худи,Merchant_Shopping,1,0,0.0,0.0
военное худи,Merchant_Shopping,2,0,0.0,0.0
военные сувениры украина,Merchant_Shopping,3,0,0.0,0.0
военные толстовки,Merchant_Shopping,1,0,0.0,0.0
военные флаги,Merchant_Shopping,9,0,0.0,0.0
военные флаги украины,Merchant_Shopping,4,0,0.0,0.0
военные футболки,Merchant_Shopping,1,0,0.0,0.0
военные футболки с принтом,Merchant_Shopping,1,0,0.0,0.0
военные худи,Merchant_Shopping,1,0,0.0,0.0
военный медик арт,Merchant_Shopping,1,0,0.0,0.0
военный мерч,Merchant_Shopping,1,0,0.0,0.0
военный флаг,Merchant_Shopping,2,0,0.0,0.0
военторг,Merchant_Shopping,1,0,0.0,0.0
военторг киев,Merchant_Shopping,1,0,0.0,0.0
военторг футболки,Merchant_Shopping,1,0,0.0,0.0
володар,Merchant_Shopping,1,0,0.0,0.0
волоцюга одяг,Merchant_Shopping,3,0,0.0,0.0
волчок худи,Merchant_Shopping,8,0,0.0,0.0
воля або смерть футболка,Merchant_Shopping,3,0,0.0,0.0
воля або смерть худі,Merchant_Shopping,2,0,0.0,0.0
воля україни або смерть прапор,Merchant_Shopping,9,0,0.0,0.0
воєнна футболка,Merchant_Shopping,2,0,0.0,0.0
воєнні футболки,Merchant_Shopping,1,0,0.0,0.0
воєнні худі,Merchant_Shopping,1,0,0.0,0.0
воєнторг,Merchant_Shopping,1,0,0.0,0.0
воєнторг запоріжжя,Merchant_Shopping,1,0,0.0,0.0
всі своі,Merchant_Shopping,2,0,0.0,0.0
всі свої,Merchant_Shopping,19,1,12.08,0.0
всі свої худі,Merchant_Shopping,5,0,0.0,0.0
вышивка на худи,Merchant_Shopping,1,0,0.0,0.0
вязаная футболка мужская,Merchant_Shopping,3,0,0.0,0.0
вєчно надуте вєчно недовольне,Merchant_Shopping,1,0,0.0,0.0
відро футболки,Merchant_Shopping,3,0,0.0,0.0
військова атрибутика,Merchant_Shopping,1,0,0.0,0.0
військова символіка,Merchant_Shopping,2,0,0.0,0.0
військова футболка,Merchant_Shopping,3,0,0.0,0.0
військова футболка з принтом,Merchant_Shopping,2,0,0.0,0.0
військова футболка зсу,Merchant_Shopping,1,0,0.0,0.0
військова худі,Merchant_Shopping,2,0,0.0,0.0
військове худі,Merchant_Shopping,7,0,0.0,0.0
військове худі з принтом,Merchant_Shopping,7,0,0.0,0.0
військовий мерч,Merchant_Shopping,21,1,13.81,0.0
військовий одяг,Merchant_Shopping,3,0,0.0,0.0
військовий прапор,Merchant_Shopping,3,0,0.0,0.0
військовий принт,Merchant_Shopping,1,0,0.0,0.0
військовий худі,Merchant_Shopping,1,0,0.0,0.0
військові банери,Merchant_Shopping,25,1,34.19,0.0
військові бренди,Merchant_Shopping,1,0,0.0,0.0
військові бренди одягу,Merchant_Shopping,1,0,0.0,0.0
військові картини,Merchant_Shopping,2,0,0.0,0.0
військові кофти,Merchant_Shopping,1,0,0.0,0.0
військові кофти з принтом,Merchant_Shopping,14,0,0.0,0.0
військові плакати,Merchant_Shopping,6,0,0.0,0.0
військові прапори,Merchant_Shopping,199,2,27.58,0.0
військові прапори україни,Merchant_Shopping,14,0,0.0,0.0
військові принти,Merchant_Shopping,1,0,0.0,0.0
військові сувеніри,Merchant_Shopping,2,0,0.0,0.0
військові футболки,Merchant_Shopping,8,0,0.0,0.0
військові футболки з принтом,Merchant_Shopping,28,0,0.0,0.0
військові футболки з принтом на замовлення,Merchant_Shopping,6,0,0.0,0.0
військові футболки купити,Merchant_Shopping,1,0,0.0,0.0
військові футболки м так,Merchant_Shopping,1,0,0.0,0.0
військові худі,Merchant_Shopping,10,0,0.0,0.0
військові худі з принтом,Merchant_Shopping,39,0,0.0,0.0
військові худі з принтом жіночі,Merchant_Shopping,3,0,0.0,0.0
вільні люди мають зброю футболка,Merchant_Shopping,5,0,0.0,0.0
вільні спортивні штани чоловічі,Merchant_Shopping,3,0,0.0,0.0
вільні штани,Merchant_Shopping,1,0,0.0,0.0
вільні штани чоловічі,Merchant_Shopping,2,0,0.0,0.0
вірю в тцк,Merchant_Shopping,3,0,0.0,0.0
вірю в тцк футболка,Merchant_Shopping,1,0,0.0,0.0
габардин прапор,Merchant_Shopping,1,0,0.0,0.0
галичина бренд,Merchant_Shopping,1,0,0.0,0.0
галичина магазин,Merchant_Shopping,1,0,0.0,0.0
галичина одяг,Merchant_Shopping,1,0,0.0,0.0
ганеша магазин,Merchant_Shopping,1,0,0.0,0.0
ганнібал мерч,Merchant_Shopping,1,0,0.0,0.0
гараж магазин одягу,Merchant_Shopping,1,0,0.0,0.0
гард,Merchant_Shopping,24,0,0.0,0.0
гарда,Merchant_Shopping,13,1,4.48,0.0
гарда одяг,Merchant_Shopping,1,0,0.0,0.0
гарда сайт,Merchant_Shopping,1,0,0.0,0.0
гарда україна,Merchant_Shopping,2,0,0.0,0.0
гвер,Merchant_Shopping,20,0,0.0,0.0
гвер магазин,Merchant_Shopping,10,0,0.0,0.0
где купить одежду больших размеров для мужчин,Merchant_Shopping,1,0,0.0,0.0
генерал черешня мерч,Merchant_Shopping,3,0,0.0,0.0
герб донецка,Merchant_Shopping,1,0,0.0,0.0
герб донецкой области,Merchant_Shopping,2,0,0.0,0.0
герб донецької області,Merchant_Shopping,1,0,0.0,0.0
герб дснс,Merchant_Shopping,2,0,0.0,0.0
герлаб,Merchant_Shopping,1,0,0.0,0.0
го бренд юкрейн,Merchant_Shopping,1,0,0.0,0.0
гобелен на стену,Merchant_Shopping,1,0,0.0,0.0
гобелены на стену,Merchant_Shopping,1,0,0.0,0.0
годинник дснс,Merchant_Shopping,2,0,0.0,0.0
гонор,Merchant_Shopping,8,1,6.17,0.0
гонор груп,Merchant_Shopping,1,0,0.0,0.0
гонор мерч,Merchant_Shopping,3,0,0.0,0.0
гонор футболка,Merchant_Shopping,7,0,0.0,0.0
гоноровий,Merchant_Shopping,6,1,138.3,0.0
гонорові,Merchant_Shopping,53,0,0.0,0.0
гонорові одяг,Merchant_Shopping,13,1,16.17,0.0
гонорові сайт,Merchant_Shopping,5,0,0.0,0.0
гонорові футболка,Merchant_Shopping,15,0,0.0,0.0
гонорові футболки,Merchant_Shopping,5,0,0.0,0.0
горгани,Merchant_Shopping,1,0,0.0,0.0
горгани магазин,Merchant_Shopping,1,0,0.0,0.0
гордон магазин,Merchant_Shopping,1,0,0.0,0.0
гордон шоп,Merchant_Shopping,6,0,0.0,0.0
гордон шоп интернет магазин,Merchant_Shopping,1,0,0.0,0.0
готичний одяг,Merchant_Shopping,1,0,0.0,0.0
готичний одяг купити,Merchant_Shopping,1,0,0.0,0.0
гоу ін юа,Merchant_Shopping,1,0,0.0,0.0
гоша рубчинский купить украина,Merchant_Shopping,2,0,0.0,0.0
гранж футболка,Merchant_Shopping,1,0,0.0,0.0
гроза,Merchant_Shopping,2,0,0.0,0.0
груп компани,Merchant_Shopping,1,0,0.0,0.0
гуд бой клаб,Merchant_Shopping,2,0,0.0,0.0
гуд бойс,Merchant_Shopping,1,0,0.0,0.0
гуд бойс клаб,Merchant_Shopping,182,0,0.0,0.0
гуд бойс клаб харьков,Merchant_Shopping,5,0,0.0,0.0
гуд бойс клуб,Merchant_Shopping,14,0,0.0,0.0
гур мерч,Merchant_Shopping,9,0,0.0,0.0
гур футболка,Merchant_Shopping,6,0,0.0,0.0
гуска одяг,Merchant_Shopping,1,0,0.0,0.0
дабхюманс,Merchant_Shopping,1,0,0.0,0.0
дарк магазин,Merchant_Shopping,1,0,0.0,0.0
дастер не їде худі,Merchant_Shopping,1,0,0.0,0.0
двонитка,Merchant_Shopping,1,0,0.0,0.0
де я нахуй футболка,Merchant_Shopping,1,0,0.0,0.0
дед дайнасти мерч,Merchant_Shopping,1,0,0.0,0.0
декор донецк,Merchant_Shopping,1,0,0.0,0.0
день независимости украины,Merchant_Shopping,1,0,0.0,0.0
день пам яті захисників україни,Merchant_Shopping,1,0,0.0,0.0
дерев яні постери,Merchant_Shopping,1,0,0.0,0.0
держак для прапора,Merchant_Shopping,1,0,0.0,0.0
держатель для флага,Merchant_Shopping,1,0,0.0,0.0
джим бим,Merchant_Shopping,3,0,0.0,0.0
джинси,Merchant_Shopping,1,0,0.0,0.0
джинси баггі,Merchant_Shopping,1,0,0.0,0.0
джинси великих розмірів чоловічі,Merchant_Shopping,1,0,0.0,0.0
джинси чоловічі 56 розмір,Merchant_Shopping,1,0,0.0,0.0
джинси чоловічі чорні широкі,Merchant_Shopping,1,0,0.0,0.0
джинси чорні чоловічі,Merchant_Shopping,2,0,0.0,0.0
джинсові штани широкі,Merchant_Shopping,1,0,0.0,0.0
джинсы багги,Merchant_Shopping,1,0,0.0,0.0
джинсы багги на резинке,Merchant_Shopping,1,0,0.0,0.0
джинсы черные мужские широкие,Merchant_Shopping,3,0,0.0,0.0
джинсы широкие черные мужские,Merchant_Shopping,1,0,0.0,0.0
джоггеры мужские,Merchant_Shopping,2,0,0.0,0.0
джоггеры мужские на флисе,Merchant_Shopping,1,0,0.0,0.0
джоггеры спортивные,Merchant_Shopping,1,0,0.0,0.0
джогери,Merchant_Shopping,2,0,0.0,0.0
джогери zara,Merchant_Shopping,1,0,0.0,0.0
джогери жіночі,Merchant_Shopping,13,0,0.0,0.0
джогери жіночі широкі,Merchant_Shopping,1,0,0.0,0.0
джогери на флісі жіночі,Merchant_Shopping,1,0,0.0,0.0
джогери найк,Merchant_Shopping,1,0,0.0,0.0
джогери спортивні жіночі,Merchant_Shopping,3,0,0.0,0.0
джогери стафф,Merchant_Shopping,1,0,0.0,0.0
джогери чоловічі,Merchant_Shopping,5,0,0.0,0.0
джогери чоловічі широкі,Merchant_Shopping,1,0,0.0,0.0
джогери чорні,Merchant_Shopping,1,0,0.0,0.0
джогери чорні жіночі,Merchant_Shopping,2,0,0.0,0.0
джогери чорні чоловічі,Merchant_Shopping,1,0,0.0,0.0
джогеры,Merchant_Shopping,1,0,0.0,0.0
джогеры мужские,Merchant_Shopping,2,0,0.0,0.0
джорданы штаны,Merchant_Shopping,1,0,0.0,0.0
джінси чорні,Merchant_Shopping,1,0,0.0,0.0
дзига перехоплювач,Merchant_Shopping,1,0,0.0,0.0
дизайн футболок,Merchant_Shopping,1,0,0.0,0.0
дизайнерское худи,Merchant_Shopping,1,0,0.0,0.0
дикі шершні мерч,Merchant_Shopping,1,0,0.0,0.0
димна суміш мерч,Merchant_Shopping,2,0,0.0,0.0
димна суміш футболка,Merchant_Shopping,1,0,0.0,0.0
дк енергетик мерч,Merchant_Shopping,1,0,0.0,0.0
для військових,Merchant_Shopping,2,0,0.0,0.0
для військового,Merchant_Shopping,1,0,0.0,0.0
для захисника,Merchant_Shopping,1,0,0.0,0.0
дмитрий боровиков футболка,Merchant_Shopping,1,0,0.0,0.0
до речі,Merchant_Shopping,1,0,0.0,0.0
доберман агрессив,Merchant_Shopping,2,0,0.0,0.0
доброшмот,Merchant_Shopping,5,0,0.0,0.0
додо сокс,Merchant_Shopping,1,0,0.0,0.0
дольче габбана толстовка,Merchant_Shopping,1,0,0.0,0.0
домашні штани купити,Merchant_Shopping,2,0,0.0,0.0
донбас прапор,Merchant_Shopping,7,0,0.0,0.0
донбас флаг,Merchant_Shopping,3,0,0.0,0.0
донбас футболка,Merchant_Shopping,1,0,0.0,0.0
донбасс порожняк не гонит футболка,Merchant_Shopping,1,0,0.0,0.0
донбасс флаг,Merchant_Shopping,1,0,0.0,0.0
донецк прапор,Merchant_Shopping,1,0,0.0,0.0
донецк флаг,Merchant_Shopping,1,0,0.0,0.0
донецкая область,Merchant_Shopping,1,0,0.0,0.0
донецкий флаг,Merchant_Shopping,1,0,0.0,0.0
донецьк прапор,Merchant_Shopping,2,0,0.0,0.0
донецьк стела,Merchant_Shopping,1,0,0.0,0.0
донецька область прапор,Merchant_Shopping,2,0,0.0,0.0
донецька стела,Merchant_Shopping,1,0,0.0,0.0
древко для флага,Merchant_Shopping,1,0,0.0,0.0
дроп деад,Merchant_Shopping,2,0,0.0,0.0
друк на прапорах,Merchant_Shopping,3,0,0.0,0.0
друк на прапорі,Merchant_Shopping,35,1,8.92,0.0
друк на худі,Merchant_Shopping,4,0,0.0,0.0
друк прапора,Merchant_Shopping,1,0,0.0,0.0
друк прапорів,Merchant_Shopping,1,0,0.0,0.0
друк прапорів львів,Merchant_Shopping,3,0,0.0,0.0
друк прапорів на замовлення,Merchant_Shopping,4,0,0.0,0.0
дснс,Merchant_Shopping,1,0,0.0,0.0
дснс емблема,Merchant_Shopping,1,0,0.0,0.0
дснс шеврон,Merchant_Shopping,4,0,0.0,0.0
дснс шеврони,Merchant_Shopping,1,0,0.0,0.0
дубхуманс,Merchant_Shopping,4,0,0.0,0.0
дурнев шоп,Merchant_Shopping,54,2,11.44,0.0
дурнев шоп сайт,Merchant_Shopping,1,0,0.0,0.0
дурнєв шоп,Merchant_Shopping,1,0,0.0,0.0
душніла футболка,Merchant_Shopping,1,0,0.0,0.0
дшв прапор,Merchant_Shopping,1,0,0.0,0.0
дшв футболка,Merchant_Shopping,4,0,0.0,0.0
дід шинобі мерч,Merchant_Shopping,10,0,0.0,0.0
емблема дснс,Merchant_Shopping,3,0,0.0,0.0
енот футболка,Merchant_Shopping,1,0,0.0,0.0
ерд зипка,Merchant_Shopping,1,0,0.0,0.0
ерд худи,Merchant_Shopping,1,0,0.0,0.0
етно худі,Merchant_Shopping,3,0,0.0,0.0
жадан футболки,Merchant_Shopping,1,0,0.0,0.0
жадан і собаки мерч,Merchant_Shopping,1,0,0.0,0.0
жадан і собаки футболка,Merchant_Shopping,2,0,0.0,0.0
женская толстовка на молнии купить украина,Merchant_Shopping,1,0,0.0,0.0
женские спортивные штаны,Merchant_Shopping,3,0,0.0,0.0
женские спортивные штаны nike,Merchant_Shopping,1,1,6.56,0.0
женские худи с капюшоном,Merchant_Shopping,1,0,0.0,0.0
женские худи с принтом,Merchant_Shopping,2,0,0.0,0.0
женские штаны kappa,Merchant_Shopping,1,0,0.0,0.0
женский спортивный костюм черный,Merchant_Shopping,3,0,0.0,0.0
женский худи с капюшоном,Merchant_Shopping,1,0,0.0,0.0
женское худи,Merchant_Shopping,3,0,0.0,0.0
женское худи оверсайз,Merchant_Shopping,3,0,0.0,0.0
жіноча толстовка на блискавці,Merchant_Shopping,3,0,0.0,0.0
жіноче зіп худі,Merchant_Shopping,2,0,0.0,0.0
жіноче худі,Merchant_Shopping,14,0,0.0,0.0
жіноче худі з принтом,Merchant_Shopping,4,0,0.0,0.0
жіноче худі на блискавці,Merchant_Shopping,3,0,0.0,0.0
жіноче худі оверсайз,Merchant_Shopping,7,0,0.0,0.0
жіночий одяг,Merchant_Shopping,1,0,0.0,0.0
жіночі військові футболки,Merchant_Shopping,1,0,0.0,0.0
жіночі спортивні шорти,Merchant_Shopping,1,0,0.0,0.0
жіночі спортивні штани,Merchant_Shopping,8,0,0.0,0.0
жіночі спортивні штани найк,Merchant_Shopping,1,0,0.0,0.0
жіночі спортивні штани широкі,Merchant_Shopping,1,0,0.0,0.0
жіночі теплі спортивні штани,Merchant_Shopping,1,0,0.0,0.0
жіночі худі,Merchant_Shopping,2,0,0.0,0.0
жіночі худі з принтом,Merchant_Shopping,4,0,0.0,0.0
жіночі худі купити,Merchant_Shopping,6,0,0.0,0.0
жіночі худі на замку,Merchant_Shopping,5,0,0.0,0.0
жіночі штани,Merchant_Shopping,1,0,0.0,0.0
