term,impr,clicks,cost,conv
заказать худи с принтом,2,0,0.0,0.0
заказать худи со своим принтом,1,0,0.0,0.0
заказать штани,3,0,0.0,0.0
заказать штаны,5,0,0.0,0.0
заколот,191,2,40.59,0.0
заколот бренд,10,0,0.0,0.0
заколот магазин,36,0,0.0,0.0
заколот мерч,4,0,0.0,0.0
заколот одежда,3,0,0.0,0.0
заколот одяг,122,1,3.77,0.0
заколот футболка,113,4,17.0,0.0
заколот худі,11,0,0.0,0.0
закохувати бренд,1,0,0.0,0.0
зализна крамниця,3,0,0.0,0.0
залізна крамниця,14,0,0.0,0.0
залізний вовк сайт,2,0,0.0,0.0
замовити кофту,1,0,0.0,0.0
замовити прапор,868,6,95.42,0.0
замовити прапор безвісти зниклих,40,1,24.7,0.0
замовити прапор бригади,79,0,0.0,0.0
замовити прапор з власним дизайном,121,0,0.0,0.0
замовити прапор з логотипом,118,1,8.15,0.0
замовити прапор з написом,5,0,0.0,0.0
замовити прапор з фото,229,1,5.18,0.0
замовити прапор з фото військового,53,0,0.0,0.0
замовити прапор з фото героя,51,0,0.0,0.0
замовити прапор з фото зниклого безвісти військового,9,0,0.0,0.0
замовити прапор з фотографією,78,0,0.0,0.0
замовити прапор на замовлення,3,0,0.0,0.0
замовити прапор на флагшток,6,0,0.0,0.0
замовити прапор під замовлення,49,0,0.0,0.0
замовити прапор україни,26,0,0.0,0.0
замовити прапор україни з логотипом,1,0,0.0,0.0
замовити прапори,60,0,0.0,0.0
замовити флаг,13,0,0.0,0.0
замовити флаг з фото,9,0,0.0,0.0
замовити футболки,1,0,0.0,0.0
замовити футболки з принтом,1,0,0.0,0.0
замовити футболку,1,0,0.0,0.0
замовити футболку з логотипом,1,0,0.0,0.0
замовити худі,9,0,0.0,0.0
замовити штани,1,0,0.0,0.0
замовлення прапорів,33,0,0.0,0.0
замовлення футболок,1,0,0.0,0.0
замок кофта,2,0,0.0,0.0
запоріжжя магазин одягу,1,0,0.0,0.0
заправлена футболка,2,0,0.0,0.0
запіканка одяг,1,0,0.0,0.0
зара,48,1,2.85,0.0
зара джоггеры женские,6,0,0.0,0.0
зара кофти,1,0,0.0,0.0
зара льняные штаны,1,0,0.0,0.0
зара мужская,1,0,0.0,0.0
зара мужская одежда,1,0,0.0,0.0
зара мужские худи,1,0,0.0,0.0
зара республика,1,0,0.0,0.0
зара сайт,1,0,0.0,0.0
зара сайт украина,1,0,0.0,0.0
зара свитшот,1,0,0.0,0.0
зара спортивные штаны,6,0,0.0,0.0
зара спортивні штани,1,0,0.0,0.0
зара украина,6,1,9.76,0.0
зара футболки,1,0,0.0,0.0
зара футболки женские,1,0,0.0,0.0
зара худі,1,0,0.0,0.0
зара чоловічий одяг,1,0,0.0,0.0
зара чоловічі футболки,1,0,0.0,0.0
зара штани,4,0,0.0,0.0
зара штани спортивні,1,0,0.0,0.0
зара штани чоловічі,5,0,0.0,0.0
зара штаны,2,0,0.0,0.0
зара штаны мужские,5,0,0.0,0.0
зара штаны спортивные,2,0,0.0,0.0
зара юа,1,0,0.0,0.0
захисник,1,0,0.0,0.0
захисника,2,0,0.0,0.0
захисників,7,0,0.0,0.0
захід магазин прапорів,5,0,0.0,0.0
збройні сили україни,1,0,0.0,0.0
звания дснс,1,0,0.0,0.0
зелена зіпка,1,0,0.0,0.0
зелене худі,3,0,0.0,0.0
зелене худі жіноче,1,0,0.0,0.0
зелене худі чоловіче,3,0,0.0,0.0
зелений лонгслів,2,0,0.0,0.0
зелений прапор,17,0,0.0,0.0
зеленый худи мужской,1,0,0.0,0.0
зелёное худи,1,0,0.0,0.0
зеро фокстрот,20,0,0.0,0.0
зибка,1,0,0.0,0.0
зимние мужские спортивные штаны,2,0,0.0,0.0
зимние спортивные штаны,1,0,0.0,0.0
зимние спортивные штаны купить,2,0,0.0,0.0
зимние спортивные штаны мужские,3,0,0.0,0.0
зимние худи,9,0,0.0,0.0
зимние широкие штаны,2,0,0.0,0.0
зимние штани,1,0,0.0,0.0
зимние штаны мужские,4,0,0.0,0.0
зимние штаны мужские columbia,1,0,0.0,0.0
зимні штани,3,0,0.0,0.0
зимове худі чоловіче,2,0,0.0,0.0
зимові кофти чоловічі,1,0,0.0,0.0
зимові спортивні штани,1,0,0.0,0.0
зимові спортивні штани адідас чоловічі,1,0,0.0,0.0
зимові спортивні штани чоловічі,2,0,0.0,0.0
зимові худі,1,0,0.0,0.0
зимові чоловічі штани,1,0,0.0,0.0
зимові штани,7,0,0.0,0.0
зимові штани чоловічі,4,0,0.0,0.0
зип,1,0,0.0,0.0
зип бейп,2,0,0.0,0.0
зип кофта,59,4,23.44,0.0
зип кофта женская,4,1,5.08,0.0
зип кофта купить,1,0,0.0,0.0
зип кофта мужская,23,0,0.0,0.0
зип кофты,3,0,0.0,0.0
зип купить,1,0,0.0,0.0
зип оригинал,2,0,0.0,0.0
зип толстовка,1,0,0.0,0.0
зип хром хартс,2,0,0.0,0.0
зип худди,2,0,0.0,0.0
зип худи,1315,17,109.67,0.0
зип худи aape,1,0,0.0,0.0
зип худи adidas,4,0,0.0,0.0
зип худи affliction,1,0,0.0,0.0
зип худи alpha industries,5,0,0.0,0.0
зип худи army,6,0,0.0,0.0
зип худи carhartt,1,0,0.0,0.0
зип худи corteiz,1,0,0.0,0.0
зип худи dc,1,0,0.0,0.0
зип худи dc shoes,3,0,0.0,0.0
зип худи diesel,1,0,0.0,0.0
зип худи erd,1,0,0.0,0.0
зип худи essentials,1,0,0.0,0.0
зип худи gap,2,0,0.0,0.0
зип худи house,2,0,0.0,0.0
зип худи project gr,1,0,0.0,0.0
зип худи stussy,4,0,0.0,0.0
зип худи thor steinar,3,0,0.0,0.0
зип худи thrasher,2,0,0.0,0.0
зип худи vans,1,0,0.0,0.0
зип худи vintage type 00s,1,0,0.0,0.0
зип худи xs,10,0,0.0,0.0
зип худи y2k,26,0,0.0,0.0
зип худи y2k украина,1,0,0.0,0.0
зип худи yori sport,1,0,0.0,0.0
зип худи адидас,2,0,0.0,0.0
зип худи альфа индастриз,13,0,0.0,0.0
зип худи аниме,5,0,0.0,0.0
зип худи архив,4,0,0.0,0.0
зип худи без начеса,2,0,0.0,0.0
зип худи брендовые,1,0,0.0,0.0
зип худи в полоску,1,0,0.0,0.0
зип худи ванс,1,0,0.0,0.0
зип худи варенка,1,0,0.0,0.0
зип худи винтаж,6,0,0.0,0.0
зип худи голубое,1,0,0.0,0.0
зип худи джордан,2,0,0.0,0.0
зип худи для подростков,2,0,0.0,0.0
зип худи дс,1,0,0.0,0.0
зип худи ерд,3,0,0.0,0.0
зип худи женская,3,0,0.0,0.0
зип худи женские,5,0,0.0,0.0
зип худи женское,40,1,21.15,0.0
зип худи жіночі,8,0,0.0,0.0
зип худи зара,4,0,0.0,0.0
зип худи каппа,5,0,0.0,0.0
зип худи конверс,1,0,0.0,0.0
зип худи короткое,2,0,0.0,0.0
зип худи кортез,3,0,0.0,0.0
зип худи кроп,1,0,0.0,0.0
зип худи купить,53,1,8.64,0.0
зип худи купить украина,5,0,0.0,0.0
зип худи лайл скот,1,0,0.0,0.0
зип худи лакоста,1,0,0.0,0.0
зип худи лонсдейл,6,0,0.0,0.0
зип худи мальборо,1,0,0.0,0.0
зип худи манто,2,0,0.0,0.0
зип худи мейсон марджела,1,0,0.0,0.0
зип худи мужская,22,0,0.0,0.0
зип худи мужские,215,4,17.3,0.0
зип худи мужские брендовые,24,0,0.0,0.0
зип худи мужское,77,2,17.24,0.0
зип худи мужское оверсайз,16,0,0.0,0.0
зип худи на молнии,10,0,0.0,0.0
зип худи на флисе,4,0,0.0,0.0
зип худи найк,1,0,0.0,0.0
зип худи недорого,1,0,0.0,0.0
зип худи нефор,6,0,0.0,0.0
зип худи нью беланс,7,0,0.0,0.0
зип худи оверсайз,81,0,0.0,0.0
зип худи оверсайз y2k,13,1,22.17,0.0
зип худи оверсайз женские,8,1,7.4,0.0
зип худи оверсайз купить,1,0,0.0,0.0
зип худи оверсайз мужские,20,0,0.0,0.0
зип худи оверсайз на молнии,2,0,0.0,0.0
зип худи оверсайз с принтом,4,0,0.0,0.0
зип худи олх,5,0,0.0,0.0
зип худи опиум,7,0,0.0,0.0
зип худи поло,1,0,0.0,0.0
зип худи розовое,2,0,0.0,0.0
зип худи с ангелами,2,0,0.0,0.0
зип худи с балаклавой,4,0,0.0,0.0
зип худи с капюшоном,1,0,0.0,0.0
зип худи с принтом,42,0,0.0,0.0
зип худи с принтом мужские,7,3,18.15,0.0
зип худи с принтом на спине,13,0,0.0,0.0
зип худи с рисунком,2,0,0.0,0.0
зип худи с ушками,2,0,0.0,0.0
зип худи с черепом,18,0,0.0,0.0
зип худи селин,1,0,0.0,0.0
зип худи серое,2,0,0.0,0.0
зип худи ск8,5,0,0.0,0.0
зип худи скелет,4,0,0.0,0.0
зип худи со скелетом,8,0,0.0,0.0
зип худи со стразами,1,0,0.0,0.0
зип худи со стразами купить,1,0,0.0,0.0
зип худи сп компани,4,0,0.0,0.0
зип худи стафф,7,0,0.0,0.0
зип худи стон айленд,11,0,0.0,0.0
зип худи стоник,1,0,0.0,0.0
зип худи стуси,3,0,0.0,0.0
зип худи тор штайнер,4,0,0.0,0.0
зип худи тру релиджн,5,0,0.0,0.0
зип худи у2к,9,0,0.0,0.0
зип худи укороченное,10,0,0.0,0.0
зип худи украина,19,1,4.96,0.0
зип худи флис,1,0,0.0,0.0
зип худи халики,1,0,0.0,0.0
зип худи хаус,7,0,0.0,0.0
зип худи хром хартс,16,0,0.0,0.0
зип худи черная,1,0,0.0,0.0
зип худи черное,21,0,0.0,0.0
зип худи черный,2,0,0.0,0.0
зип худи чоловічі,15,0,0.0,0.0
зип худи шут,4,0,0.0,0.0
зип худі,11,0,0.0,0.0
зип худі жіноче,1,0,0.0,0.0
зип худі оверсайз,1,0,0.0,0.0
зип худі чоловічі,1,0,0.0,0.0
зипеа,3,0,0.0,0.0
зиперка,2,0,0.0,0.0
зипики,2,0,0.0,0.0
зипк,2,0,0.0,0.0
зипка,966,3,12.85,0.0
зипка adidas,1,0,0.0,0.0
зипка alpha industries,1,0,0.0,0.0
зипка believe,2,0,0.0,0.0
зипка blessed,2,0,0.0,0.0
зипка corteiz,5,0,0.0,0.0
зипка dota 2 the international,9,0,0.0,0.0
зипка erd,4,0,0.0,0.0
зипка gap,1,0,0.0,0.0
зипка glo gang,2,0,0.0,0.0
зипка mastermind,2,0,0.0,0.0
зипка navy,1,0,0.0,0.0
зипка off white,1,0,0.0,0.0
зипка project gr,1,0,0.0,0.0
зипка rust,3,0,0.0,0.0
зипка sk8,1,0,0.0,0.0
зипка supreme,1,0,0.0,0.0
зипка tnf,2,0,0.0,0.0
зипка true religion,1,0,0.0,0.0
зипка vetements,5,0,0.0,0.0
зипка y2k,16,0,0.0,0.0
зипка y2k мужская,7,0,0.0,0.0
зипка адидас,3,0,0.0,0.0
зипка аликс,1,0,0.0,0.0
зипка альфа,2,0,0.0,0.0
зипка альфа индастриз,7,0,0.0,0.0
зипка аниме,4,0,0.0,0.0
зипка архив,4,0,0.0,0.0
зипка аутсайдер,1,0,0.0,0.0
зипка баленсиага,3,0,0.0,0.0
зипка барбери,2,0,0.0,0.0
зипка бежевая,1,0,0.0,0.0
зипка бершка,2,0,0.0,0.0
зипка брокен планет,2,0,0.0,0.0
зипка бу,1,0,0.0,0.0
зипка в полоску,1,0,0.0,0.0
зипка ванс,3,0,0.0,0.0
зипка викенд оффендер,1,0,0.0,0.0
зипка винтаж,1,0,0.0,0.0
зипка дизель,1,0,0.0,0.0
зипка диси,1,0,0.0,0.0
зипка для мальчика,1,0,0.0,0.0
зипка для парней,3,0,0.0,0.0
зипка дота 2,2,0,0.0,0.0
зипка дота 2 интернешнл,3,0,0.0,0.0
зипка еко,2,0,0.0,0.0
зипка ерд,6,0,0.0,0.0
зипка женская,22,0,0.0,0.0
зипка женская купить,3,0,0.0,0.0
зипка женская оверсайз,5,0,0.0,0.0
зипка женская с принтом,1,0,0.0,0.0
зипка как у джесси пинкмана,2,0,0.0,0.0
зипка кежуал,1,0,0.0,0.0
зипка короткая,1,0,0.0,0.0
зипка кортез,6,0,0.0,0.0
зипка кортез серая,2,0,0.0,0.0
зипка кофта,22,0,0.0,0.0
зипка кроп,1,0,0.0,0.0
зипка купить,55,0,0.0,0.0
зипка купить украина,9,0,0.0,0.0
зипка левайс,1,0,0.0,0.0
зипка лонсдейл,4,0,0.0,0.0
зипка манто,15,0,0.0,0.0
зипка марсело бурлон,1,0,0.0,0.0
зипка мастермайнд,5,0,0.0,0.0
зипка мужская,210,7,48.8,0.0
зипка мужская на молнии,6,0,0.0,0.0
зипка мужская оверсайз,25,0,0.0,0.0
зипка мужская с принтом,10,0,0.0,0.0
зипка мужская черная,11,0,0.0,0.0
зипка на лето,2,0,0.0,0.0
зипка на молнии,4,0,0.0,0.0
зипка на молнии женская,1,0,0.0,0.0
зипка на молнии мужская,2,0,0.0,0.0
зипка на флисе,1,0,0.0,0.0
зипка найк,3,0,0.0,0.0
зипка нефорская,10,0,0.0,0.0
зипка ноггано,1,0,0.0,0.0
зипка нью беланс,4,0,0.0,0.0
зипка оверсайз,13,1,6.69,0.0
зипка оверсайз женская,2,0,0.0,0.0
зипка оверсайз мужская,6,0,0.0,0.0
зипка олд мани,1,0,0.0,0.0
зипка олх,7,0,0.0,0.0
зипка опиум,1,0,0.0,0.0
зипка оптимус ганг,1,0,0.0,0.0
зипка пит буль,1,0,0.0,0.0
зипка питбуль,2,0,0.0,0.0
зипка проджект гр,1,0,0.0,0.0
зипка розовая,2,0,0.0,0.0
зипка с ангелами,1,0,0.0,0.0
зипка с блестками,1,0,0.0,0.0
зипка с большим замком,1,0,0.0,0.0
зипка с дотой,1,0,0.0,0.0
зипка с инта,1,0,0.0,0.0
зипка с капюшоном,4,0,0.0,0.0
зипка с крестами,1,0,0.0,0.0
зипка с крестом,1,0,0.0,0.0
зипка с принтом,52,0,0.0,0.0
зипка с принтом на спине,44,3,13.95,0.0
зипка с рисунком,4,0,0.0,0.0
зипка с сакурой,1,0,0.0,0.0
зипка с стразами,1,0,0.0,0.0
зипка с цветочками,1,0,0.0,0.0
зипка с черепом,6,0,0.0,0.0
зипка свастон,34,0,0.0,0.0
зипка сипи компани,1,0,0.0,0.0
зипка ск8,1,0,0.0,0.0
зипка со стразами,8,0,0.0,0.0
зипка сп компани,1,0,0.0,0.0
зипка спайдермен,1,0,0.0,0.0
зипка спаси и сохрани,4,0,0.0,0.0
зипка спортивная,1,0,0.0,0.0
зипка стафф,9,0,0.0,0.0
зипка стон айленд,1,0,0.0,0.0
зипка стуси,1,0,0.0,0.0
зипка стусси,1,0,0.0,0.0
зипка суприм,3,0,0.0,0.0
зипка теплая,5,0,0.0,0.0
зипка тим спирит,1,0,0.0,0.0
зипка тнф,1,0,0.0,0.0
зипка тор штайнер,8,1,2.5,0.0
зипка трепстар,1,0,0.0,0.0
зипка трешер,1,0,0.0,0.0
зипка тру релиджн,2,0,0.0,0.0
зипка тру релиджн суприм,1,0,0.0,0.0
зипка у2к,7,0,0.0,0.0
зипка украина,13,0,0.0,0.0
зипка хаус,5,0,0.0,0.0
зипка хром хартс,21,0,0.0,0.0
зипка хром хартс оригинал,1,0,0.0,0.0
зипка худи,7,0,0.0,0.0
зипка худи мужская,8,0,0.0,0.0
зипка худи на молнии мужская,2,0,0.0,0.0
зипка худі,3,0,0.0,0.0
зипка человек бензопила,1,0,0.0,0.0
зипка черная,40,0,0.0,0.0
зипка черная женская,1,0,0.0,0.0
зипка черная мужская,5,0,0.0,0.0
зипка черная оверсайз,6,0,0.0,0.0
зипка чоловіча,10,0,0.0,0.0
зипка чорна,4,0,0.0,0.0
зипка чёрная,1,0,0.0,0.0
зипка шут,2,0,0.0,0.0
зипка шута,3,0,0.0,0.0
зипка эд харди,1,0,0.0,0.0
зипка эко,1,0,0.0,0.0
зипки,178,0,0.0,0.0
зипки y2k,23,0,0.0,0.0
зипки в японском стиле,1,0,0.0,0.0
зипки женские,1,0,0.0,0.0
зипки кофты,2,0,0.0,0.0
зипки купить,15,0,0.0,0.0
зипки мужские,39,1,3.78,0.0
зипки на 2026,1,0,0.0,0.0
зипки на весну,1,0,0.0,0.0
зипки на осень,15,0,0.0,0.0
зипки найк,1,0,0.0,0.0
зипки оверсайз,4,0,0.0,0.0
зипки олх,2,0,0.0,0.0
зипки с принтом,32,0,0.0,0.0
зипки черные,2,0,0.0,0.0
зипкк,2,0,0.0,0.0
зипкп,2,0,0.0,0.0
зипку,2,0,0.0,0.0
зипку купить,12,0,0.0,0.0
зиппер кофта,2,0,0.0,0.0
зиппер мужской,1,0,0.0,0.0
зиппо,2,0,0.0,0.0
зипхуди,31,0,0.0,0.0
зипхуди купить,7,0,0.0,0.0
зла мавка лонгслів,2,0,0.0,0.0
зла мавка мерч,2,0,0.0,0.0
змпка,1,0,0.0,0.0
знай наших,4,0,0.0,0.0
знай наших магазин,1,0,0.0,0.0
знак донецкая область,1,0,0.0,0.0
знак дснс,9,0,0.0,0.0
знак дснс україни,2,0,0.0,0.0
знак медицины,1,0,0.0,0.0
знак пошани дснс,1,0,0.0,0.0
знамена,1,0,0.0,0.0
знаменитости в бомберах,1,0,0.0,0.0
знаменосец,21,0,0.0,0.0
знаменосец сайт,5,0,0.0,0.0
знаменосець,1,0,0.0,0.0
значок дснс,1,0,0.0,0.0
значок медика,3,0,0.0,0.0
значок упа,1,0,0.0,0.0
знижки,3,0,0.0,0.0
знижки одяг,1,0,0.0,0.0
знижки одяг жіночий,1,0,0.0,0.0
знов зійде сонце худі,2,0,0.0,0.0
знову зійде сонце худі,1,0,0.0,0.0
зомби футболка,1,0,0.0,0.0
зомби футболки,1,0,0.0,0.0
зохо,103,1,12.79,0.0
зохо бренд,1,0,0.0,0.0
зохо одежда,2,0,0.0,0.0
зохо худи,45,0,0.0,0.0
зохо худі,3,0,0.0,0.0
зохо юа,2,0,0.0,0.0
зробити прапор,26,0,0.0,0.0
зробити прапор на замовлення,30,0,0.0,0.0
зробити свій прапор,11,0,0.0,0.0
зсу,6,1,11.45,0.0
зсу купить,1,0,0.0,0.0
зсу мерч,1,0,0.0,0.0
зсу прапор,5,0,0.0,0.0
зсу футболка,3,0,0.0,0.0
зсу худі,2,0,0.0,0.0
зубрик,2,0,0.0,0.0
зубрик и беня,1,0,0.0,0.0
зуді,14,0,0.0,0.0
зыпка,2,0,0.0,0.0
зібка,14,0,0.0,0.0
зіп,10,0,0.0,0.0
зіп зуді,15,0,0.0,0.0
зіп кофта,17,0,0.0,0.0
зіп кофта жіноча,9,0,0.0,0.0
зіп кофта чоловіча,31,0,0.0,0.0
зіп кофти,2,0,0.0,0.0
зіп худи,3,0,0.0,0.0
зіп худі,1784,18,110.07,0.080059
зіп худі bape,4,0,0.0,0.0
зіп худі chrome hearts,1,0,0.0,0.0
зіп худі gap,4,0,0.0,0.0
зіп худі palace,1,0,0.0,0.0
зіп худі stone island,1,0,0.0,0.0
зіп худі stussy,1,0,0.0,0.0
зіп худі y2k,13,0,0.0,0.0
зіп худі адідас,1,0,0.0,0.0
зіп худі барбері,1,0,0.0,0.0
зіп худі бейп,1,0,0.0,0.0
зіп худі біле,2,0,0.0,0.0
зіп худі геп,1,0,0.0,0.0
зіп худі дитяче,1,0,0.0,0.0
зіп худі для хлопчика,2,0,0.0,0.0
зіп худі діор,1,0,0.0,0.0
зіп худі еліс,1,0,0.0,0.0
зіп худі жіноче,208,5,28.84,0.0
зіп худі жіноче оверсайз,34,0,0.0,0.0
зіп худі жіноче укорочене,1,0,0.0,0.0
зіп худі жіноче чорне,3,0,0.0,0.0
зіп худі жіночі,72,1,2.87,0.0
зіп худі з балаклавою,1,0,0.0,0.0
зіп худі з блискітками,1,0,0.0,0.0
зіп худі з принтом,97,1,6.26,0.0
зіп худі зі стразами,2,0,0.0,0.0
зіп худі кортез,1,0,0.0,0.0
зіп худі кроп,1,0,0.0,0.0
зіп худі купити,20,0,0.0,0.0
зіп худі купить,3,0,0.0,0.0
зіп худі лонсдейл,6,0,0.0,0.0
зіп худі на флісі,4,0,0.0,0.0
зіп худі найк,1,0,0.0,0.0
зіп худі оверсайз,38,0,0.0,0.0
зіп худі оверсайз жіночі,6,1,3.98,0.0
зіп худі оверсайз чоловічі,12,0,0.0,0.0
зіп худі олх,9,0,0.0,0.0
зіп худі рожеве,3,0,0.0,0.0
зіп худі стафф,15,0,0.0,0.0
зіп худі сіре,2,0,0.0,0.0
зіп худі укорочене,7,0,0.0,0.0
зіп худі фліс,2,0,0.0,0.0
зіп худі хром хартс,2,0,0.0,0.0
зіп худі чоловіча,63,2,15.46,0.0
зіп худі чоловіче,91,3,35.16,0.0
зіп худі чоловічі,621,5,50.55,0.0
зіп худі чоловічі брендові,49,0,0.0,0.0
зіп худі чоловічі з принтом,33,0,0.0,0.0
зіп худі чоловічі оверсайз,15,0,0.0,0.0
зіп худі чорна,6,0,0.0,0.0
зіп худі чорне,47,0,0.0,0.0
зіп худі шафа,3,0,0.0,0.0
зіпер,10,1,5.84,0.0
зіпер жіночий,4,0,0.0,0.0
зіпка,607,8,72.7,0.0
зіпка chrome hearts,2,0,0.0,0.0
зіпка corteiz,1,0,0.0,0.0
зіпка ellesse,6,0,0.0,0.0
зіпка new balance,1,0,0.0,0.0
зіпка y2k,4,0,0.0,0.0
зіпка yessirskiii,1,0,0.0,0.0
зіпка адідас,3,0,0.0,0.0
зіпка бейп,2,0,0.0,0.0
зіпка біла,1,0,0.0,0.0
зіпка дитяча,2,0,0.0,0.0
зіпка для підлітка,7,0,0.0,0.0
зіпка діор,2,0,0.0,0.0
зіпка жіноча,52,0,0.0,0.0
зіпка жіноча найк,1,0,0.0,0.0
зіпка жіноча оверсайз,10,1,20.45,0.0
зіпка з блискітками,1,0,0.0,0.0
зіпка з капюшоном,4,0,0.0,0.0
зіпка з принтом,40,0,0.0,0.0
зіпка з сакурою,2,0,0.0,0.0
зіпка кархарт,1,0,0.0,0.0
зіпка кортез,5,0,0.0,0.0
зіпка кроп,5,0,0.0,0.0
зіпка купити,33,0,0.0,0.0
зіпка купить,13,0,0.0,0.0
зіпка лонсдейл,1,0,0.0,0.0
зіпка людина павук,1,0,0.0,0.0
зіпка мейсон марджела,1,0,0.0,0.0
зіпка на замку,7,0,0.0,0.0
зіпка на літо,2,0,0.0,0.0
зіпка на флісі,2,0,0.0,0.0
зіпка найк,1,0,0.0,0.0
зіпка оверсайз,15,0,0.0,0.0
зіпка оверсайз жіноча,9,0,0.0,0.0
зіпка оверсайз чоловіча,7,0,0.0,0.0
зіпка олх,2,0,0.0,0.0
зіпка пітбуль,2,0,0.0,0.0
зіпка стаф,10,0,0.0,0.0
зіпка стон айленд оригинал,2,0,0.0,0.0
зіпка стусі,5,0,0.0,0.0
зіпка тепла,1,0,0.0,0.0
зіпка хаус,3,0,0.0,0.0
зіпка хром хартс,3,0,0.0,0.0
зіпка худі,51,1,5.83,0.25
зіпка худі жіноча,5,0,0.0,0.0
зіпка чоловіча,453,4,24.4,0.0
зіпка чоловіча оверсайз,21,0,0.0,0.0
зіпка чоловіча чорна,2,0,0.0,0.0
зіпка чорна,17,0,0.0,0.0
зіпка чорна жіноча,1,0,0.0,0.0
зіпка чорна чоловіча,3,1,8.74,0.0
зіпки,167,3,69.33,0.25
зіпки жіночі,6,0,0.0,0.0
зіпки чоловічі,45,0,0.0,0.0
зіпку,3,0,0.0,0.0
зіпкі,2,0,0.0,0.0
зіпо,1,0,0.0,0.0
зіппер,4,0,0.0,0.0
зіпхуді,57,0,0.0,0.0
и шо ты воевал футболка,4,0,0.0,0.0
ибис одежда,2,0,0.0,0.0
иван дорн мерч,1,0,0.0,0.0
игрушка баба яга,1,0,0.0,0.0
игрушка вампир,1,1,23.42,0.0
идеи что попросить на др,1,0,0.0,0.0
идея нации футболка,1,0,0.0,0.0
идея нації,1,0,0.0,0.0
иди нахуй футболка,1,0,0.0,0.0
иду на вы футболка,7,0,0.0,0.0
избушка бабы яги купить,1,0,0.0,0.0
изготовление флагов,24,0,0.0,0.0
изготовление флагов на заказ,18,0,0.0,0.0
изготовление флагов харьков,2,0,0.0,0.0
инспирадора,3,0,0.0,0.0
инстаграм магазины мужской одежды,1,0,0.0,0.0
интернет магазин вещей украина,1,0,0.0,0.0
интернет магазин гарне юа женская одежда,1,0,0.0,0.0
интернет магазин миллениум,1,0,0.0,0.0
интернет магазин морковочка,2,0,0.0,0.0
интернет магазин мужской одежды больших размеров украина,1,0,0.0,0.0
интернет магазин одежды,3,0,0.0,0.0
интернет магазин одежды для подростков в украине,1,0,0.0,0.0
интернет магазин одежды кривой рог,1,0,0.0,0.0
интернет магазини одягу,2,0,0.0,0.0
интертоп сайт,1,0,0.0,0.0
интерьер милитари,1,0,0.0,0.0
интроверт футболка,2,0,0.0,0.0
исламские футболки,1,0,0.0,0.0
исланд шоп,10,0,0.0,0.0
исландия шоп,7,0,0.0,0.0
итальянские бренды одежды,2,0,0.0,0.0
иілітарист,2,0,0.0,0.0
йога футболка,2,0,0.0,0.0
йоджи ямамото кофта,1,0,0.0,0.0
йомайо магазин,1,0,0.0,0.0
йори спорт штаны,1,0,0.0,0.0
к 2 мерч,23,0,0.0,0.0
к2 мерч,48,0,0.0,0.0
кабанчи,1,0,0.0,0.0
кабанчи одежда,1,0,0.0,0.0
кабанчи одяг,6,0,0.0,0.0
кабанчик одежда,1,0,0.0,0.0
кабанчик одяг,2,0,0.0,0.0
кабанчиком,2,0,0.0,0.0
кабанчі,13,1,7.21,0.0
кабанчі ком,1,0,0.0,0.0
кабинетные флаги,4,0,0.0,0.0
кав эмпт,1,0,0.0,0.0
кавемпт,3,0,0.0,0.0
кавказ футболка,1,0,0.0,0.0
кагрол,1,0,0.0,0.0
как акула сайт,5,0,0.0,0.0
как выбрать джинсы,1,0,0.0,0.0
как выглядит баба яга,1,0,0.0,0.0
как закрепить флаг на палке,1,0,0.0,0.0
как крепить флаг к тросу,1,0,0.0,0.0
как крепить флаг на флагшток,1,0,0.0,0.0
как называется кофта на замке,2,0,0.0,0.0
как называется плотная ткань для футболок,1,0,0.0,0.0
как называется худи на молнии,3,0,0.0,0.0
как называются широкие штаны,1,0,0.0,0.0
как одеваться стильно подростку мальчику,1,0,0.0,0.0
как повесить флаг на стену,3,0,0.0,0.0
как повесить флаг на флагшток,2,0,0.0,0.0
как повесить флаг чтобы не закручивался,1,0,0.0,0.0
как прикрепить флаг к стене,3,0,0.0,0.0
как прикрепить флаг на стену,1,0,0.0,0.0
как сделать флагшток,1,0,0.0,0.0
как сделать флагшток своими руками,1,0,0.0,0.0
как узнать свой размер одежды по росту и весу,1,0,0.0,0.0
как узнать свой размер штанов,1,0,0.0,0.0
какакула,2,0,0.0,0.0
какие флаги бывают,1,0,0.0,0.0
кактус джек t shirt,1,0,0.0,0.0
каменское магазины одежды,13,0,0.0,0.0
камотек,1,0,0.0,0.0
камуфляжна кофта,1,0,0.0,0.0
камікадзе,9,1,3.95,0.0
каннибал корпс футболка,1,0,0.0,0.0
капель одежда,1,0,0.0,0.0
капишонка,1,0,0.0,0.0
капкан,2,0,0.0,0.0
капкан магазин,4,0,0.0,0.0
капкан шоп,1,0,0.0,0.0
капри спортивные,1,0,0.0,0.0
капрі спортивні жіночі,3,0,0.0,0.0
капсула магазин одягу,1,0,0.0,0.0
капсула одяг,1,0,0.0,0.0
капюшонки мужские,6,0,0.0,0.0
кара футболка,1,0,0.0,0.0
карабин для флага,2,0,0.0,0.0
каразин шоп,2,0,0.0,0.0
каракурт юа,2,0,0.0,0.0
каратель мерч,1,0,0.0,0.0
карго,1,0,0.0,0.0
карго жіночі,1,0,0.0,0.0
карго одяг,1,0,0.0,0.0
