product_id,product_title,l1,l2,impressions,clicks,cost,conversions,conv_value
gla_33450,"Прапор ""Згідно з наказом""",прапори,колекція 4.0,1252,28,297.87,0.0,0.0
gla_28101,"Прапор ""Захисник світу""",прапори,колекція 2.0,160,2,54.46,0.0,0.0
gla_32293,Футболка unisex “Azazel”,sale,(пусто),5,0,0.0,0.0,0.0
gla_33451,"Прапор ""Зелений спектр""",прапори,колекція 4.0,62,0,0.0,0.0,0.0
gla_34732,"Футболка ""Лелека""",новинки,(пусто),113,0,0.0,0.0,0.0
gla_28008,"Прапор ""Донецьк""",прапори,колекція 1.0,879,11,189.79,0.0,0.0
gla_32164,Футболка unisex “Tarot”,чоловічий одяг,футболки,1,0,0.0,0.0,0.0
gla_28259,"Прапор ""Водій""",прапори,знижки,489,5,44.44,0.0,0.0
gla_30710,"Прапор ""Баба Яга""",прапори,колекція 3.0,278,3,16.9,0.0,0.0
gla_33205,"Прапор ""Стабік""",прапори,колекція 4.0,28,0,0.0,0.0,0.0
gla_32281,Зіп-худі unisex “Arch of the Underworld”,жіночий одяг,(пусто),45,0,0.0,0.0,0.0
gla_28393,"Прапор ""Сапер""",прапори,колекція 3.0,120,2,12.31,0.0,0.0
gla_32318,Футболка unisex “Tarot”,жіночий одяг,(пусто),8,0,0.0,0.0,0.0
gla_32169,Футболка unisex “Tarot”,чоловічий одяг,футболки,26,0,0.0,0.0,0.0
gla_32270,Зіп-худі unisex “Garden of Bones”,жіночий одяг,(пусто),696,9,65.41,0.0,0.0
gla_28077,"Прапор ""Життя""",прапори,колекція 2.0,102,0,0.0,0.0,0.0
gla_28383,"Прапор ""Одного разу під Херсоном""",прапори,колекція 3.0,54,0,0.0,0.0,0.0
gla_32154,Футболка unisex “Welcome to hell”,чоловічий одяг,футболки,23,0,0.0,0.0,0.0
gla_33241,"Прапор ""Маршрутка""",прапори,колекція 4.0,137,1,8.86,0.0,0.0
gla_32278,Зіп-худі unisex “Arch of the Underworld”,жіночий одяг,(пусто),18,0,0.0,0.0,0.0
gla_32337,Футболка unisex “Arch of the Underworld”,жіночий одяг,(пусто),21,0,0.0,0.0,0.0
gla_34759,"Футболка ""Перехоплювач""",новинки,(пусто),69,1,14.79,0.0,0.0
gla_28211,"Прапор ""Де посадка""",прапори,колекція 3.0,268,0,0.0,0.0,0.0
gla_32156,Футболка unisex “Welcome to hell”,чоловічий одяг,футболки,57,0,0.0,0.0,0.0
gla_32256,Зіп-худі unisex “Welcome to hell”,жіночий одяг,(пусто),982,13,178.46,0.0,0.0
gla_32783,"Футболка unisex ""Вампір""",жіночий одяг,(пусто),445,2,14.43,0.0,0.0
gla_34817,"Худі oversize ""Морпіхи""",новинки,(пусто),425,2,12.77,0.0,0.0
gla_34641,"Футболка ""Вампіри""",новинки,(пусто),117,2,3.67,0.0,0.0
gla_32068,Шорти чоловічі спортивні,чоловічий одяг,(пусто),1,0,0.0,0.0,0.0
gla_32251,Шорти жіночі спортивні укорочені,жіночий одяг,(пусто),32,0,0.0,0.0,0.0
gla_27995,"Прапор ""Воїн в полі""",прапори,колекція 1.0,336,1,33.09,0.0,0.0
gla_28156,"Прапор ""Місцевий""",прапори,колекція 2.0,84,0,0.0,0.0,0.0
gla_32250,Шорти жіночі спортивні укорочені,жіночий одяг,(пусто),5,0,0.0,0.0,0.0
gla_34760,"Футболка ""Перехоплювач""",новинки,(пусто),137,2,16.71,0.0,0.0
gla_34745,"Футболка ""Baby shark""",новинки,(пусто),1,0,0.0,0.0,0.0
gla_34828,"Худі oversize ""Сапер""",новинки,(пусто),724,10,128.9,0.0,0.0
gla_32191,Футболка unisex “Arch of the Underworld”,чоловічий одяг,футболки,195,0,0.0,0.0,0.0
gla_32221,Світшот чоловічий “Tarot”,чоловічий одяг,світшоти,8,0,0.0,0.0,0.0
gla_32133,Футболка unisex “Warrior”,sale,(пусто),34,0,0.0,0.0,0.0
gla_32170,Футболка unisex “Tarot”,чоловічий одяг,футболки,20,1,0.92,0.0,0.0
gla_32145,Футболка unisex “Azazel”,чоловічий одяг,футболки,8,0,0.0,0.0,0.0
gla_30309,"Прапор ""Армійська Авіація""",прапори,колекція 3.0,42,0,0.0,0.0,0.0
gla_32236,Світшот чоловічий “Azazel”,чоловічий одяг,світшоти,11,0,0.0,0.0,0.0
gla_33223,"Прапор ""Спіймані чмоні""",прапори,колекція 4.0,132,1,3.71,0.0,0.0
gla_34629,"Футболка ""В етері""",новинки,(пусто),703,4,52.06,0.0,0.0
gla_32235,Світшот чоловічий “Azazel”,чоловічий одяг,світшоти,17,0,0.0,0.0,0.0
gla_33182,"Прапор ""Гроза району""",прапори,колекція 4.0,666,7,92.92,1.0,1699.0
gla_29160,"Лонгслів ""Міномет""",чоловічий одяг,лонгсліви,183,1,2.15,0.0,0.0
gla_34801,"Худі oversize ""Міномет""",новинки,(пусто),478,5,81.75,0.0,0.0
gla_32108,Зіп-худі unisex “Azazel”,чоловічий одяг,зіп-худі,52,0,0.0,0.0,0.0
gla_34762,"Футболка ""Перехоплювач""",новинки,(пусто),35,1,6.15,0.0,0.0
gla_34655,"Футболка ""Гроза району""",новинки,(пусто),69,0,0.0,0.0,0.0
