название	идентификатор	цена	состояние	наличие	Канал	ярлык фида	Язык	update type	все клики	доставка(сервис доставки:страна доставки:цена доставки)	категория продукта google	код производителя	марка	метка продавца 0	описание	ссылка	ссылка на изображение	тип товара
Szklarnia Went Ekspert Tunel 40x20 3x12m z poliwęglanem 4mm	701983539082	3349.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	0	:PL:				szklarnia	"Specyfikacje: Szerokość szklarni: 3 mDługość szklarni: 12 mWysokość szklarni: 2 mOdstęp między łukami: 0,67 mProfil szklarnie: rura prostokątna z ocynku 40x20mmPokrycie szklarnie: poliwęglan produkcji europejskiejGrubość poliwęglanu: 4 mm (Odporny na promienie UV)Ilość drzwi: dwoje drzwi (z przodu i z tyłu każda z drzwi składa się z dwóch otwierających elementów) W celu uzyskania maksymalnej sztywności front i tyl szklarni zostały spawane, łuki są jednolite, bez węzłów połączeniowych. Szklarnia Tunel Went Ekspert 40x20 3x12m z poliwęglanem 4mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia Tunel Went Ekspert - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 40x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 4 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Nowa szklarnia wyposażona jest w podwójne drzwi, które można otwierać niezależnie lub jednocześnie. Takie rozwiązanie zapewnia lepszą wentylację z obu stron. Wymiary jednego segmentu drzwi to: szerokość 0,85 m i wysokość 0,89 m. Szklarnia łatwo montuje się samodzielnie, zgodnie z instrukcją, którą znajdziecie Państwo w zestawie. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Ponadto możecie skorzystać z naszej usługi montażu. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Tunel Went Ekspert: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 4 mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-went-ekspert-tunel/tproduct/2024410953-701983539082-szklarnia-went-ekspert-tunel-40x20-3x12m	https://static.tildacdn.one/stor6462-6161-4630-b836-376366356462/2b82df02efac3ccca1b7588cdf2e8c96.jpg	
"Fundament ze stali ocynkowanej pod szklarnię 2,1×4 m"	515312717954	568.00 PLN	новый	в наличии	Интернет-магазины	PL	pl		0	:PL:					"Fundament Ekspert służy jako dodatkowe wzmocnienie do mocowania szklarni na ziemi i pozwala przedłużyć żywotność szklarni. Fundament wykonany jest ze stali ocynkowanej o przekroju prostokątnym w kształcie litery U. Fundament dopasowany do szklarnie 2,1 x 4 m Zestaw zawiera: Profile-U (podstawy fundamentowe);Kotwy do wbijania w ziemię (6 szt.);Łączniki do montażu fundamentu;Zestaw montażowy do instalacji szklarni na fundamencie.Fundament jest łatwy w montażu zgodnie z naszą instrukcją. Nie musisz nic kupować, wszystkie niezbędne elementy są już w zestawie. Otrzymasz fundament wraz z niezbędnymi śrubami i wkrętami samogwintującymi do jego montażu, a także zestaw montażowy do zainstalowania szklarni na fundamencie. Specyfikacje: – Szerokość: 2,1 m – Długość: 4 m – Wysokość profilu-U: 8 cm – Szerokość profilu-U: 4 cm – Całkowita długość kotw: 40 cm – Długość kotw zanurzonych w ziemi: 32cm – Kotwy do wkopania w ziemię: 6 szt."	https://ekspertagro.pl/fundament-do-szklarni/tproduct/1614163071-515312717954-fundament-ze-stali-ocynkowanej-pod-szkla	https://static.tildacdn.one/stor3162-3932-4264-b935-376664326436/22126882.png	
"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x2m z poliwęglanem 4mm"	120227161902	1299.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	999	:PL:				szklarnia	"Specyfikacje: Szerokość: 2,5 mDługość: 2 mWysokość: 2 mOdstęp między łukami: 0,67 mRodzaj profilu: zamknięty profil ze stali ocynkowanej 40x20 mmObudowa szklarni: Poliwęglan produkcji europejskiejGrubość poliwęglanu: 4 mm (gęstość 600-850 g/m2)Typ konstrukcji: tunelIlość drzwi: dwoje drzwi z przodu i z tyłu (0,91x1,81 m)Ilość okienek: dwa okienka z przodu i z tyłu (0,41x0,86 m) Szklarnia TIG EKSPERT KOMPAKT 2,5x2m z profilu 40x20mm z poliwęglanem 4mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia TIG EKSPERT KOMPAKT - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 40x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 4 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Ekspert Tunel: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 4-6mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-kompakt-ekspert-tunel/tproduct/2022989143-120227161902-szklarnia-kompakt-ekspert-tunel-40x20-25	https://static.tildacdn.one/stor3563-6165-4463-b361-306130326639/f579ae7eb135cb7314f0e67302a17b2d.jpg	
Zestaw do podwiązywania roślin do szklarni 10m	487332071292	65.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	8	:PL:					"Specyfikacje: Do szklarni o długości: 10 mMateriał: stal Zestaw do podwiązywania przeznaczony jest do mocowania wysokich roślin szklarniowych: pomidorów, papryki, ogórków, melonów, arbuzów, winogron itp. Zestaw to drut na wymiar długości szklarni, który mocuje się do łuków szklarni. Zestaw zawiera kompletny zestaw mocowań do łuków, śrub, zacisków i drutu."	https://ekspertagro.pl/tproduct/1-487332071292-zestaw-do-podwizywania-rolin-do-szklarni	https://static.tildacdn.one/stor3438-3431-4663-b436-663833393135/26718936.jpg	
Fundament ze stali ocynkowanej pod szklarnię 2×12 m	743131592932	1368.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	0	:PL:					"Fundament Ekspert służy jako dodatkowe wzmocnienie do mocowania szklarni na ziemi i pozwala przedłużyć żywotność szklarni. Fundament wykonany jest ze stali ocynkowanej o przekroju prostokątnym w kształcie litery U. Fundament dopasowany do szklarnie 2 x 12 m Zestaw zawiera: Profile-U (podstawy fundamentowe);Kotwy do wbijania w ziemię (14 szt.);Łączniki do montażu fundamentu;Zestaw montażowy do instalacji szklarni na fundamencie.Fundament jest łatwy w montażu zgodnie z naszą instrukcją. Nie musisz nic kupować, wszystkie niezbędne elementy są już w zestawie. Otrzymasz fundament wraz z niezbędnymi śrubami i wkrętami samogwintującymi do jego montażu, a także zestaw montażowy do zainstalowania szklarni na fundamencie. Specyfikacje: – Szerokość: 2 m – Długość: 12 m – Wysokość profilu-U: 8 cm – Szerokość profilu-U: 4 cm – Całkowita długość kotw: 40 cm – Długość kotw zanurzonych w ziemi: 32cm – Kotwy do wkopania w ziemię: 14 szt."	https://ekspertagro.pl/fundament-do-szklarni/tproduct/1614163071-743131592932-fundament-ze-stali-ocynkowanej-pod-szkla	https://static.tildacdn.one/stor3162-3932-4264-b935-376664326436/22126882.png	
Szklarnia Ekspert Tunel 40×20 3x12m z poliwęglanem 6mm	807720092212	4099.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	0	:PL:				szklarnia	"Specyfikacje : Szerokość: 3 mDługość: 12 mWysokość: 2 mOdstęp między łukami: 0,67 mRodzaj profilu: zamknięty profil ze stali ocynkowanej 40x20 mmObudowa szklarni: Poliwęglan produkcji europejskiejGrubość poliwęglanu: 6 mm (gęstość 600-850 g/m2)Typ konstrukcji: tunelIlość drzwi: dwoje drzwi z przodu i z tyłu (0,91x1,81 m)Ilość okienek: dwa okienka z przodu i z tyłu (0,41x0,86 m) Szklarnia Ekspert Tunel 40x20 3x12m z poliwęglanem 6 mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia Ekspert Tunel - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 40x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 6 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Szklarnia łatwo montuje się samodzielnie, zgodnie z instrukcją, którą znajdziecie Państwo w zestawie. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Ponadto możecie skorzystać z naszej usługi montażu. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Ekspert Tunel: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 6 mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-ekspert-tunel-40-20/tproduct/1998727403-807720092212-szklarnia-ekspert-tunel-4020-3x12m-z-pol	https://static.tildacdn.one/stor3332-6134-4033-b034-613064393661/b054dcf8f9db77841f8c02ad00dadb1e.jpg	
Szklarnia Tytan Ekspert Tunel 40x20 4x4m z poliwęglanem 4mm	629167680332	2499.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	10	Standardowa:PL:0.00 PLN	693	EXP-629167680332	Ekspert Agro	szklarnia	"Szklarnia ogrodowa ekspertagro.pl. – Szerokość: 4 m– Długość: 4 m– Wysokość: 2,2 m– Odstęp między łukami: 0,67 m– Rodzaj profilu: 40×20 mm– Grubość poliwęglanu: 4 mm (gęstość 600-850 g/m2)– Typ konstrukcji: tunel– Ilość drzwi: cztery drzwi (dwie z przodu i z tyłu)– Ilość okienek: cztery okienka (dwa z przodu i z tyłu) Wykonana z wysokiej jakości ocynkowanej stali, pokryta trwałym poliwęglanem komórkowym z ochroną UV. Kompletny zestaw z instrukcją montażu w języku polskim. Łatwy montaż, kotwy w zestawie."	https://ekspertagro.pl/szklarni/tproduct/1500649011-629167680332-szklarnia-tytan-ekspert-tunel-40x20-4x4m	https://static.tildacdn.com/stor6663-3531-4666-a365-643562356663/6482da203ffd9a28fa3031d1fa7ea434.jpg	Szklarnie
Fundament ze stali ocynkowanej pod szklarnię 4×12 m	792661394232	1528.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	0	:PL:					"Fundament Ekspert służy jako dodatkowe wzmocnienie do mocowania szklarni na ziemi i pozwala przedłużyć żywotność szklarni. Fundament wykonany jest ze stali ocynkowanej o przekroju prostokątnym w kształcie litery U. Fundament dopasowany do szklarnie 4 x 12 m Zestaw zawiera: Profile-U (podstawy fundamentowe);Kotwy do wbijania w ziemię (10 szt.);Łączniki do montażu fundamentu;Zestaw montażowy do instalacji szklarni na fundamencie.Fundament jest łatwy w montażu zgodnie z naszą instrukcją. Nie musisz nic kupować, wszystkie niezbędne elementy są już w zestawie. Otrzymasz fundament wraz z niezbędnymi śrubami i wkrętami samogwintującymi do jego montażu, a także zestaw montażowy do zainstalowania szklarni na fundamencie. Specyfikacje: – Szerokość: 4 m – Długość: 12 m – Wysokość profilu-U: 8 cm – Szerokość profilu-U: 4 cm – Całkowita długość kotw: 40 cm – Długość kotw zanurzonych w ziemi: 32cm – Kotwy do wkopania w ziemię: 10 szt."	https://ekspertagro.pl/fundament-do-szklarni/tproduct/1614163071-792661394232-fundament-ze-stali-ocynkowanej-pod-szkla	https://static.tildacdn.one/stor3162-3932-4264-b935-376664326436/22126882.png	
"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x6m z poliwęglanem 6mm"	840889353082	2499.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	7	:PL:				szklarnia	"Specyfikacje: Szerokość: 2,5 mDługość: 6 mWysokość: 2 mOdstęp między łukami: 0,67 mRodzaj profilu: zamknięty profil ze stali ocynkowanej 40x20 mmObudowa szklarni: Poliwęglan produkcji europejskiejGrubość poliwęglanu: 6 mm (gęstość 600-850 g/m2)Typ konstrukcji: tunelIlość drzwi: dwoje drzwi z przodu i z tyłu (0,91x1,81 m)Ilość okienek: dwa okienka z przodu i z tyłu (0,41x0,86 m) Szklarnia TIG EKSPERT KOMPAKT 2,5x6m z profilu 40x20mm z poliwęglanem 6mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia TIG EKSPERT KOMPAKT - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 40x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 6 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Ekspert Tunel: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 4-6mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-kompakt-ekspert-tunel/tproduct/2022989143-840889353082-szklarnia-kompakt-ekspert-tunel-40x20-25	https://static.tildacdn.one/stor3563-6165-4463-b361-306130326639/f579ae7eb135cb7314f0e67302a17b2d.jpg	
Szklarnia Ekspert Tunel 40×20 3x6m z poliwęglanem 4mm	611456390152	2199.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	40	:PL:				szklarnia	"Specyfikacje : Szerokość: 3 mDługość: 6 mWysokość: 2 mOdstęp między łukami: 0,67 mRodzaj profilu: zamknięty profil ze stali ocynkowanej 40x20 mmObudowa szklarni: Poliwęglan produkcji europejskiejGrubość poliwęglanu: 4 mm (gęstość 600-850 g/m2)Typ konstrukcji: tunelIlość drzwi: dwoje drzwi z przodu i z tyłu (0,91x1,81 m)Ilość okienek: dwa okienka z przodu i z tyłu (0,41x0,86 m) Szklarnia Ekspert Tunel 40x20 3x6m z poliwęglanem 4 mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia Ekspert Tunel - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 40x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 4 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Szklarnia łatwo montuje się samodzielnie, zgodnie z instrukcją, którą znajdziecie Państwo w zestawie. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Ponadto możecie skorzystać z naszej usługi montażu. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Ekspert Tunel: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 4 mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-ekspert-tunel-40-20/tproduct/1998727403-611456390152-szklarnia-ekspert-tunel-4020-3x6m-z-poli	https://static.tildacdn.one/stor3332-6134-4033-b034-613064393661/b054dcf8f9db77841f8c02ad00dadb1e.jpg	
Dodatkowe okno boczne do szklarni typ Dom 1 m	283806540642	99.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	5	:PL:					"Specyfikacje: – Rozmiar okna: 97,5 cm x 45,0 cm – Konstrukcja: prostokątna konstrukcja – Profil: 20×20 mm – Grubość ścianki: 1 mm – Materiał: stal ocynkowana – Do szklarni o odległości między łukami: 1 m – Do typy konstrukcji szklarni: proste ściany Boczne okno pozwoli na regulację temperatury w szklarni. Montuje się go na bocznej ścianie lub dachu szklarni w celu poprawy wentylacji i utrzymania odpowiedniego klimatu do uprawy roślin i zbioru. Okno można łatwo przymocować do poliwęglanu za pomocą specjalnych wkrętów samogwintujących. W każdym zestawie dołączona jest instrukcja montażu oraz wszystkie niezbędne elementy złączne. Boczne okno pozwoli Ci regulować temperaturę w szklarni. Dodatkowe okno boczne Ekspert do szklarni typ Dom 1 m przeznaczony jest do montażu w szklarni typu proste ściany. Z odległością między łukami 1 m Nadaje się do szklarni: Szklarnia Ekspert DOM 2m z profilu 20x20mm Szklarnia Ekspert DOM DK 2,85m z profilu 40x20mm"	https://ekspertagro.pl/akcesoria-do-szklarni/tproduct/1578428051-283806540642-dodatkowe-okno-boczne-do-szklarni-typ-do	https://static.tildacdn.one/stor3331-3135-4532-a439-633861373536/56027538.jpg	
Szklarnia Went Ekspert Tunel 40x20 3x6m z poliwęglanem 4mm	406930870872	2129.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	11	:PL:				szklarnia	"Specyfikacje: Szerokość szklarni: 3 mDługość szklarni: 6 mWysokość szklarni: 2 mOdstęp między łukami: 0,67 mProfil szklarnie: rura prostokątna z ocynku 40x20mmPokrycie szklarnie: poliwęglan produkcji europejskiejGrubość poliwęglanu: 4 mm (Odporny na promienie UV)Ilość drzwi: dwoje drzwi (z przodu i z tyłu każda z drzwi składa się z dwóch otwierających elementów) W celu uzyskania maksymalnej sztywności front i tyl szklarni zostały spawane, łuki są jednolite, bez węzłów połączeniowych. Szklarnia Tunel Went Ekspert 40x20 3x6m z poliwęglanem 4mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia Tunel Went Ekspert - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 40x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 4 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Nowa szklarnia wyposażona jest w podwójne drzwi, które można otwierać niezależnie lub jednocześnie. Takie rozwiązanie zapewnia lepszą wentylację z obu stron. Wymiary jednego segmentu drzwi to: szerokość 0,85 m i wysokość 0,89 m. Szklarnia łatwo montuje się samodzielnie, zgodnie z instrukcją, którą znajdziecie Państwo w zestawie. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Ponadto możecie skorzystać z naszej usługi montażu. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Tunel Went Ekspert: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 4 mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-went-ekspert-tunel/tproduct/2024410953-406930870872-szklarnia-went-ekspert-tunel-40x20-3x6m	https://static.tildacdn.one/stor6462-6161-4630-b836-376366356462/2b82df02efac3ccca1b7588cdf2e8c96.jpg	
Szklarnia Ekspert Tunel 40×20 3x8m z poliwęglanem 6mm	932105708832	2999.00 PLN	новый	в наличии	Интернет-магазины	PL	pl	merge	4	:PL:				szklarnia	"Specyfikacje : Szerokość: 3 mDługość: 8 mWysokość: 2 mOdstęp między łukami: 0,67 mRodzaj profilu: zamknięty profil ze stali ocynkowanej 40x20 mmObudowa szklarni: Poliwęglan produkcji europejskiejGrubość poliwęglanu: 6 mm (gęstość 600-850 g/m2)Typ konstrukcji: tunelIlość drzwi: dwoje drzwi z przodu i z tyłu (0,91x1,81 m)Ilość okienek: dwa okienka z przodu i z tyłu (0,41x0,86 m) Szklarnia Ekspert Tunel 40x20 3x8m z poliwęglanem 6 mm Chroni przed promieniowaniem UVOchrona przed śniegiem, gradem i wiatremTworzy optymalny mikroklimatŁatwa samodzielna montaż według instrukcjiCertyfikowana i bezpieczna. Szklarnia Ekspert Tunel - to idealne rozwiązanie dla tych, którzy chcą uprawiać świeże warzywa, kwiaty i zioła przez cały rok. Szklarnia Ekspert łączy w sobie wytrzymałość i funkcjonalność. Ocieplony profil ocynkowany o wymiarach 40x20 mm zapewnia solidne wsparcie i długą żywotność. Pokrycie z poliwęglanu o grubości 6 mm zapewnia doskonałą izolację cieplną i ochronę przed szkodliwym promieniowaniem UV. Szklarnia łatwo montuje się samodzielnie, zgodnie z instrukcją, którą znajdziecie Państwo w zestawie. Jeśli chcecie dodatkowo wzmocnić fundament, przedłużyć okres użytkowania szklarni lub poprawić jej wygląd zewnętrzny, istnieje możliwość zakupu fundamentu osobno. Ponadto możecie skorzystać z naszej usługi montażu. Szklarnia Ekspert daje Państwu unikalną możliwość wydłużenia jej długości według potrzeb, za pomocą dwumetrowych rozszerzeń. Kompletny zestaw szklarni Ekspert Tunel: Rama szklarniowaKotwy do wzmocnienia szklarni na ziemiWszystkie niezbędne łączniki do montażu ramyPoliwęglan o grubości 6 mm do szklarnięŚruby specjalne 4.2x19 z podkładką EPDM do mocowania poliwęglanuInstrukcja montażu w języku polskim Szklarnia ma dwoje drzwi z każdej strony. W drzwiach szklarni zostały już zamontowane okna. Promocja sezonowa! Przy zakupie szklarni otrzymujesz 4 prezenty: Okno boczne - dla lepszej wentylacji!Taśma paroprzepuszczalna – wydłuża żywotność poliwęglanu!Profile końcowy w kształcie U – do zabezpieczenia poliwęglanu!Dysza do wkrętarki – szybki i wygodny montaż!"	https://ekspertagro.pl/szklarnia-ekspert-tunel-40-20/tproduct/1998727403-932105708832-szklarnia-ekspert-tunel-4020-3x8m-z-poli	https://static.tildacdn.one/stor3332-6134-4033-b034-613064393661/b054dcf8f9db77841f8c02ad00dadb1e.jpg	
