Дата визита,UTM Campaign,Пол,Возраст,Визиты
2023-06-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,15
2024-04-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2024-04-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,2
2024-04-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2024-04-08,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2024-04-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,2
2024-04-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2024-04-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2024-04-14,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,45-54 года,2
2024-04-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,2
2024-04-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2024-04-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,2
2024-04-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,2
2024-04-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,2
2024-04-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,2
2024-04-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2024-04-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2024-04-24,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,35‑44 года,2
2024-04-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,2
2024-04-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2024-04-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,2
2024-04-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2024-04-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,2
2024-05-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2024-05-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,2
2024-05-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2024-05-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,2
2024-05-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,2
2024-05-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,2
2024-05-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2024-05-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,2
2024-05-18,Промостатья: Моя история 2 | Цена перехода | 25-54,Не определено,25‑34 года,2
2024-05-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2024-05-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,мужской,25‑34 года,2
2024-05-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,мужской,35‑44 года,2
2024-05-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,мужской,45-54 года,2
2024-05-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,мужской,45-54 года,2
2024-05-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2024-05-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2024-05-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,2
2024-05-28,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,25‑34 года,2
2024-05-29,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,35‑44 года,2
2024-05-30,Промостатья: Моя история 3 | Цена перехода | 25-54,Не определено,Не определено,2
2024-05-30,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,25‑34 года,2
2024-05-30,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,35‑44 года,2
2024-06-01,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,55 лет и старше,2
2024-06-06,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,25‑34 года,2
2024-06-07,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,35‑44 года,2
2024-06-07,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,45-54 года,2
2024-06-07,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,35‑44 года,2
2024-06-10,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,45-54 года,2
2024-06-10,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,35‑44 года,2
2024-06-17,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,35‑44 года,2
2024-06-22,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,2
2024-06-23,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /dzen,женский,45-54 года,2
2024-06-24,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,2
2024-06-25,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,2
2024-04-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2024-04-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,младше 18 лет,1
2024-04-05,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2024-04-05,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,1
2024-04-05,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,25‑34 года,1
2024-04-05,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,35‑44 года,1
2024-04-06,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,55 лет и старше,1
2024-04-06,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,55 лет и старше,1
2024-04-08,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2024-04-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2024-04-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2024-04-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2024-04-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2024-04-10,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,45-54 года,1
2024-04-10,Промостатья: Моя история 2 | Цена перехода | 25-54,женский,55 лет и старше,1
2024-04-11,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,45-54 года,1
2024-04-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2024-04-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2024-04-12,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,45-54 года,1
2024-04-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2024-04-13,Промостатья: Моя история 2 | Цена перехода | 25-54,женский,55 лет и старше,1
2024-04-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,1
2024-04-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2024-04-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2024-04-15,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,45-54 года,1
2024-04-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2024-04-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2024-04-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2024-04-16,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,25‑34 года,1
2024-04-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2024-04-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2024-04-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2024-04-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2024-04-17,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,35‑44 года,1
2024-04-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,мужской,45-54 года,1
2024-04-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2024-04-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2024-04-19,Промостатья: Моя история 2 | Цена перехода | 25-54,Не определено,45-54 года,1
2024-04-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2024-04-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,1
2024-04-20,Промостатья: Моя история 2 | Цена перехода | 25-54,Не определено,45-54 года,1
2024-04-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,мужской,Не определено,1
2024-04-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2024-04-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2024-04-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2024-04-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2024-04-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2024-04-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2024-04-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,1
2024-04-27,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,45-54 года,1
2024-04-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2024-04-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2024-05-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,45-54 года,1
2024-05-05,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2024-05-06,Промостатья: Моя история 2 | Цена перехода | 25-54,Не определено,Не определено,1
2024-05-06,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,Не определено,1
2024-05-06,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,35‑44 года,1
2024-05-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,35‑44 года,1
2024-05-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2024-05-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,1
2024-05-07,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,25‑34 года,1
2024-05-07,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,35‑44 года,1
2024-05-13,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,Не определено,1
2024-05-15,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,55 лет и старше,1
2024-05-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,55 лет и старше,1
2024-05-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,1
2024-05-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2024-05-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,1
2024-05-17,Промостатья: Моя история 2 | Цена перехода | 25-54,Не определено,Не определено,1
2024-05-17,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,35‑44 года,1
2024-05-17,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,55 лет и старше,1
2024-05-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2024-05-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2024-05-19,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,1
2024-05-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2024-05-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,1
2024-05-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,мужской,45-54 года,1
2024-05-21,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,55 лет и старше,1
2024-05-21,Промостатья: Моя история 2 | Цена перехода | 25-54,женский,45-54 года,1
2024-05-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,55 лет и старше,1
2024-05-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,мужской,25‑34 года,1
2024-05-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2024-05-22,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,1
2024-05-22,Промостатья: Моя история 2 | Цена перехода | 25-54,Не определено,Не определено,1
2024-05-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,мужской,35‑44 года,1
2024-05-23,Промостатья: Моя история 2 | Цена перехода | 25-54,мужской,Не определено,1
2024-05-23,Промостатья: Моя история 2 | Цена перехода | 25-54,женский,45-54 года,1
2024-05-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,мужской,25‑34 года,1
2024-05-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,1
2024-05-24,Промостатья: Моя история 2 | Цена перехода | 25-54,женский,35‑44 года,1
2024-05-24,Промостатья: Моя история 2 | Цена перехода | 25-54,женский,55 лет и старше,1
2024-05-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2024-05-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,1
2024-05-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,1
2024-05-27,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,35‑44 года,1
2024-05-30,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,25‑34 года,1
2024-05-30,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,55 лет и старше,1
2024-05-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,1
2024-05-31,Промостатья: Моя история 3 | Цена перехода | 25-54,Не определено,Не определено,1
2024-05-31,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,Не определено,1
2024-05-31,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,45-54 года,1
2024-05-31,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,45-54 года,1
2024-06-01,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,45-54 года,1
2024-06-01,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,45-54 года,1
2024-06-02,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,45-54 года,1
2024-06-04,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,25‑34 года,1
2024-06-04,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,45-54 года,1
2024-06-05,Промостатья: Моя история 3 | Цена перехода | 25-54,Не определено,25‑34 года,1
2024-06-05,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,35‑44 года,1
2024-06-05,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,45-54 года,1
2024-06-05,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,25‑34 года,1
2024-06-06,Промостатья: Моя история 3 | Цена перехода | 25-54,Не определено,Не определено,1
2024-06-06,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,35‑44 года,1
2024-06-07,Промостатья: Моя история 3 | Цена перехода | 25-54,Не определено,35‑44 года,1
2024-06-07,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,25‑34 года,1
2024-06-07,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,55 лет и старше,1
2024-06-08,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,45-54 года,1
2024-06-09,Промостатья: Моя история 3 | Цена перехода | 25-54,Не определено,25‑34 года,1
2024-06-09,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,25‑34 года,1
2024-06-09,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,45-54 года,1
2024-06-10,Промостатья: Моя история 3 | Цена перехода | 25-54,Не определено,Не определено,1
2024-06-10,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,35‑44 года,1
2024-06-11,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,45-54 года,1
2024-06-12,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,45-54 года,1
2024-06-13,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,25‑34 года,1
2024-06-13,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,35‑44 года,1
2024-06-13,Промостатья: Моя история 3 | Цена перехода | 25-54,женский,45-54 года,1
2024-06-14,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2024-06-17,Промостатья: Моя история 3 | Цена перехода | 25-54,Не определено,45-54 года,1
2024-06-17,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,25‑34 года,1
2024-06-18,Промостатья: Моя история 3 | Цена перехода | 25-54,Не определено,Не определено,1
2024-06-18,Промостатья: Моя история 3 | Цена перехода | 25-54,мужской,25‑34 года,1
2024-06-19,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /dzen,женский,35‑44 года,1
2024-06-19,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,Не определено,1
2024-06-20,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /dzen,Не определено,45-54 года,1
2024-06-20,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /dzen,мужской,45-54 года,1
2024-06-20,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /dzen,женский,55 лет и старше,1
2024-06-20,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,Не определено,Не определено,1
2024-06-20,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,Не определено,45-54 года,1
2024-06-23,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,Не определено,45-54 года,1
2024-06-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,1
2024-06-29,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,1
2024-07-09,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,20
2024-07-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,15
2024-08-03,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,15
2024-08-09,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,13
2024-07-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,12
2024-09-21,Промостатья: Моя история 1 | Цена перехода | М,мужской,45-54 года,12
2024-07-12,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,11
2024-07-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,11
2024-09-22,Промостатья: Моя история 1 | Цена перехода | М,мужской,45-54 года,11
2024-08-04,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,10
2024-08-06,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,10
2024-07-10,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,9
2024-07-11,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,9
2024-07-20,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,9
2024-07-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,8
2024-08-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,8
2024-08-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,7
2024-08-02,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,7
2024-09-20,Промостатья: Моя история 1 | Цена перехода | М,мужской,45-54 года,7
2024-07-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2024-07-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2024-07-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,6
2024-07-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2024-08-06,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,6
2024-08-08,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,6
2024-09-23,Промостатья: Моя история 1 | Цена перехода | М,мужской,45-54 года,6
2024-07-09,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,Не определено,Не определено,5
2024-07-22,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,5
2024-07-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,5
2024-07-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,5
2024-08-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,5
2024-09-19,Промостатья: Моя история 1 | Цена перехода | М,мужской,45-54 года,5
2024-09-20,Промостатья: Моя история 1 | Цена перехода | М,мужской,35‑44 года,5
2024-07-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,4
2024-08-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,4
2024-09-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,4
2024-09-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,4
2024-09-20,Промостатья: Моя история 1 | Цена перехода | М,Не определено,Не определено,4
2024-07-11,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,Не определено,Не определено,3
2024-07-13,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,3
2024-07-14,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,3
2024-07-15,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,3
2024-07-21,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,3
2024-07-23,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,3
2024-07-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,3
2024-07-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,3
2024-07-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,3
2024-07-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,3
2024-08-05,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,3
2024-08-08,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,3
2024-08-08,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,3
2024-08-11,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,3
2024-08-12,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,3
2024-08-14,Статья: Цифры и факты / Интересы: франшиза,мужской,35‑44 года,3
2024-08-15,Статья: Цифры и факты / Интересы: франшиза,мужской,35‑44 года,3
2024-08-24,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,3
2024-08-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,3
2024-08-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,3
2024-09-08,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,3
2024-09-19,Промостатья: Моя история 1 | Цена перехода | М,Не определено,Не определено,3
2024-09-22,Промостатья: Моя история 1 | Цена перехода | М,Не определено,Не определено,3
2024-09-22,Промостатья: Моя история 1 | Цена перехода | М,мужской,35‑44 года,3
2024-07-09,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,Не определено,2
2024-07-09,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,35‑44 года,2
2024-07-16,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,2
2024-07-19,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,2
2024-07-21,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,Не определено,Не определено,2
2024-07-24,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,2
2024-07-25,Промостатья: Моя история 3 | Цена перехода | 25-54 | lp /franchise,женский,45-54 года,2
2024-07-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,2
2024-07-26,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,2
2024-07-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2024-07-27,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,2
2024-07-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2024-07-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,2
2024-07-29,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,2
2024-07-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2024-07-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,Не определено,2
2024-08-01,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,25‑34 года,2
2024-08-03,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2024-08-07,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2024-08-08,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2024-08-10,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2024-08-13,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2024-08-16,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2024-08-17,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,2
2024-08-18,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,2
2024-08-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2024-08-20,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,2
2024-08-20,Статья: Цифры и факты / Интересы: франшиза,женский,35‑44 года,2
2024-08-21,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2024-08-23,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,35‑44 года,2
2024-08-24,Статья: Цифры и факты / Интересы: открытие бизнеса,Не определено,Не определено,2
2024-08-24,Статья: Цифры и факты / Интересы: открытие бизнеса,женский,25‑34 года,2
2024-08-25,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,2
2024-08-26,Статья: Цифры и факты / Интересы: открытие бизнеса,женский,35‑44 года,2
2024-08-28,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,2
2024-08-29,Статья: Цифры и факты / Интересы: открытие бизнеса,Не определено,Не определено,2
2024-08-30,Промостатья: Моя история 1 | Цена перехода | Ж25-54,Не определено,Не определено,2
2024-08-31,Промостатья: Моя история 1 | Цена перехода | Ж25-54,женский,45-54 года,2
