Дата визита,UTM Source,Достигнутая цель,Пол,Возраст,Визиты
2025-09-02,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-09-02,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-09-06,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2025-09-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2025-09-13,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2025-09-14,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-09-14,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2025-10-24,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2025-10-29,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-11-01,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2025-11-18,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2025-11-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2025-11-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-12-07,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2025-12-18,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2025-12-19,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,45-54 года,1
2025-12-29,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,18‑24 года,1
2026-04-28,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,3
2026-04-21,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,45-54 года,2
2026-05-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2026-07-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,2
2026-01-01,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,45-54 года,1
2026-01-05,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,45-54 года,1
2026-01-06,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,45-54 года,1
2026-01-06,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2026-01-09,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2026-01-10,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2026-01-10,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2026-01-16,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2026-01-17,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,18‑24 года,1
2026-01-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,45-54 года,1
2026-02-03,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2026-02-09,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,18‑24 года,1
2026-02-14,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2026-02-26,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2026-02-27,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2026-03-13,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2026-03-18,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2026-03-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2026-03-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2026-04-15,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2026-04-15,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2026-04-19,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2026-04-22,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,45-54 года,1
2026-04-27,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2026-05-15,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2026-05-16,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2026-05-17,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2026-05-20,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2026-05-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2026-05-29,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2026-05-31,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2026-06-02,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2026-06-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2026-06-15,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,Не определено,1
2026-06-15,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2026-06-20,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,55 лет и старше,1
2026-06-29,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2026-07-01,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
2026-07-02,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2026-07-17,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2026-07-17,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2026-07-20,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2026-07-21,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2026-07-22,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2026-07-23,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2026-07-25,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2026-07-28,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2026-07-29,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,35‑44 года,1
2026-07-30,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,45-54 года,1
2026-08-09,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,мужской,45-54 года,1
2026-08-11,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,женский,25‑34 года,1
2026-08-19,yandex.promopages,ОТПРАВКА ЛЮБОЙ ФОРМЫ,Не определено,Не определено,1
