Дата визита,UTM Source,Пол,Возраст,Визиты
2026-04-24,yandex.promopages,мужской,45-54 года,1
2026-04-24,yandex.promopages,мужской,55 лет и старше,1
2026-04-24,yandex.promopages,женский,Не определено,1
2026-04-24,yandex.promopages,женский,55 лет и старше,1
2026-04-25,yandex.promopages,Не определено,25‑34 года,1
2026-04-25,yandex.promopages,женский,55 лет и старше,1
2026-04-26,yandex.promopages,Не определено,35‑44 года,1
2026-04-26,yandex.promopages,Не определено,45-54 года,1
2026-04-26,yandex.promopages,женский,55 лет и старше,1
2026-04-27,yandex.promopages,Не определено,55 лет и старше,1
2026-04-27,yandex.promopages,мужской,55 лет и старше,1
2026-04-27,yandex.promopages,женский,младше 18 лет,1
2026-04-27,yandex.promopages,женский,18‑24 года,1
2026-04-28,yandex.promopages,Не определено,25‑34 года,1
2026-04-28,yandex.promopages,мужской,35‑44 года,1
2026-04-28,yandex.promopages,мужской,45-54 года,1
2026-04-29,yandex.promopages,Не определено,Не определено,1
2026-04-29,yandex.promopages,женский,55 лет и старше,1
2026-05-01,yandex.promopages,Не определено,Не определено,1
2026-05-04,yandex.promopages,женский,Не определено,1
2026-05-06,yandex.promopages,мужской,Не определено,1
2026-05-09,yandex.promopages,Не определено,Не определено,1
2026-05-10,yandex.promopages,женский,35‑44 года,1
2026-05-11,yandex.promopages,Не определено,45-54 года,1
2026-05-13,yandex.promopages,женский,35‑44 года,1
2026-05-14,yandex.promopages,женский,35‑44 года,1
2026-05-15,yandex.promopages,женский,45-54 года,1
2026-05-17,yandex.promopages,Не определено,35‑44 года,1
2026-05-17,yandex.promopages,мужской,35‑44 года,1
2026-05-17,yandex.promopages,женский,25‑34 года,1
2026-05-17,yandex.promopages,женский,35‑44 года,1
2026-05-21,yandex.promopages,Не определено,Не определено,1
2026-05-21,yandex.promopages,Не определено,25‑34 года,1
2026-05-21,yandex.promopages,Не определено,35‑44 года,1
2026-05-21,yandex.promopages,женский,55 лет и старше,1
2026-05-22,yandex.promopages,Не определено,Не определено,1
2026-05-23,yandex.promopages,женский,Не определено,1
2026-05-23,yandex.promopages,женский,35‑44 года,1
2026-05-26,yandex.promopages,женский,25‑34 года,1
2026-05-27,yandex.promopages,женский,25‑34 года,1
2026-05-28,yandex.promopages,мужской,35‑44 года,1
2026-05-29,yandex.promopages,Не определено,25‑34 года,1
2026-05-29,yandex.promopages,женский,55 лет и старше,1
2026-05-30,yandex.promopages,женский,45-54 года,1
2026-05-31,yandex.promopages,мужской,25‑34 года,1
2026-06-01,yandex.promopages,мужской,45-54 года,1
2026-06-01,yandex.promopages,женский,Не определено,1
2026-06-01,yandex.promopages,женский,55 лет и старше,1
2026-06-02,yandex.promopages,женский,25‑34 года,1
2026-06-02,yandex.promopages,женский,35‑44 года,1
2026-06-03,yandex.promopages,мужской,55 лет и старше,1
2026-06-03,yandex.promopages,женский,Не определено,1
2026-06-03,yandex.promopages,женский,45-54 года,1
2026-06-04,yandex.promopages,женский,45-54 года,1
2026-06-05,yandex.promopages,женский,Не определено,1
2026-06-05,yandex.promopages,женский,45-54 года,1
2026-06-06,yandex.promopages,женский,25‑34 года,1
2026-06-06,yandex.promopages,женский,35‑44 года,1
2026-06-06,yandex.promopages,женский,45-54 года,1
2026-06-07,yandex.promopages,женский,35‑44 года,1
2026-06-07,yandex.promopages,женский,45-54 года,1
2026-06-09,yandex.promopages,Не определено,Не определено,1
2026-06-10,yandex.promopages,женский,35‑44 года,1
2026-06-12,yandex.promopages,женский,25‑34 года,1
2026-06-13,yandex.promopages,женский,45-54 года,1
2026-06-14,yandex.promopages,женский,35‑44 года,1
2026-06-14,yandex.promopages,женский,45-54 года,1
2026-06-15,yandex.promopages,женский,Не определено,1
2026-06-16,yandex.promopages,женский,25‑34 года,1
2026-06-16,yandex.promopages,женский,55 лет и старше,1
2026-06-17,yandex.promopages,мужской,35‑44 года,1
2026-06-17,yandex.promopages,женский,35‑44 года,1
2026-06-20,yandex.promopages,женский,Не определено,1
2026-06-20,yandex.promopages,женский,25‑34 года,1
2026-06-20,yandex.promopages,женский,45-54 года,1
2026-06-20,yandex.promopages,женский,55 лет и старше,1
2026-06-25,yandex.promopages,Не определено,35‑44 года,1
2026-06-25,yandex.promopages,женский,55 лет и старше,1
2026-06-26,yandex.promopages,мужской,35‑44 года,1
2026-06-26,yandex.promopages,женский,25‑34 года,1
2026-06-26,yandex.promopages,женский,35‑44 года,1
2026-06-27,yandex.promopages,Не определено,Не определено,1
2026-06-27,yandex.promopages,женский,35‑44 года,1
2026-06-28,yandex.promopages,Не определено,Не определено,1
2026-06-29,yandex.promopages,мужской,45-54 года,1
2026-06-29,yandex.promopages,женский,Не определено,1
2026-06-29,yandex.promopages,женский,55 лет и старше,1
2026-06-30,yandex.promopages,Не определено,Не определено,1
2026-06-30,yandex.promopages,мужской,25‑34 года,1
2026-06-30,yandex.promopages,женский,55 лет и старше,1
2026-07-19,yandex.promopages,женский,45-54 года,18
2026-07-18,yandex.promopages,женский,45-54 года,14
2026-07-17,yandex.promopages,женский,35‑44 года,9
2026-07-17,yandex.promopages,женский,45-54 года,9
2026-07-18,yandex.promopages,женский,35‑44 года,8
2026-07-02,yandex.promopages,женский,45-54 года,7
2026-07-04,yandex.promopages,женский,45-54 года,7
2026-07-19,yandex.promopages,женский,35‑44 года,7
2026-07-01,yandex.promopages,женский,35‑44 года,6
2026-07-01,yandex.promopages,женский,45-54 года,5
2026-07-09,yandex.promopages,женский,35‑44 года,5
2026-07-15,yandex.promopages,женский,45-54 года,5
2026-07-22,yandex.promopages,женский,35‑44 года,5
2026-07-23,yandex.promopages,женский,35‑44 года,5
2026-07-28,yandex.promopages,женский,35‑44 года,5
2026-07-02,yandex.promopages,женский,35‑44 года,4
2026-07-03,yandex.promopages,женский,45-54 года,4
2026-07-07,yandex.promopages,женский,35‑44 года,4
2026-07-08,yandex.promopages,женский,35‑44 года,4
2026-07-14,yandex.promopages,женский,35‑44 года,4
2026-07-14,yandex.promopages,женский,45-54 года,4
2026-07-16,yandex.promopages,женский,45-54 года,4
2026-07-21,yandex.promopages,женский,35‑44 года,4
2026-07-26,yandex.promopages,женский,35‑44 года,4
2026-07-01,yandex.promopages,Не определено,Не определено,3
2026-07-03,yandex.promopages,женский,35‑44 года,3
2026-07-04,yandex.promopages,женский,25‑34 года,3
2026-07-06,yandex.promopages,женский,45-54 года,3
2026-07-07,yandex.promopages,женский,25‑34 года,3
2026-07-07,yandex.promopages,женский,45-54 года,3
2026-07-08,yandex.promopages,женский,45-54 года,3
2026-07-09,yandex.promopages,женский,45-54 года,3
2026-07-18,yandex.promopages,женский,Не определено,3
2026-07-18,yandex.promopages,женский,25‑34 года,3
2026-07-22,yandex.promopages,мужской,45-54 года,3
2026-07-22,yandex.promopages,женский,45-54 года,3
2026-07-24,yandex.promopages,женский,35‑44 года,3
2026-07-25,yandex.promopages,женский,35‑44 года,3
2026-07-27,yandex.promopages,женский,35‑44 года,3
2026-07-28,yandex.promopages,женский,45-54 года,3
2026-08-09,yandex.promopages,мужской,45-54 года,3
2026-08-18,yandex.promopages,женский,35‑44 года,3
2026-07-02,yandex.promopages,женский,25‑34 года,2
2026-07-04,yandex.promopages,женский,35‑44 года,2
2026-07-05,yandex.promopages,женский,25‑34 года,2
2026-07-07,yandex.promopages,мужской,45-54 года,2
2026-07-11,yandex.promopages,женский,45-54 года,2
2026-07-12,yandex.promopages,женский,35‑44 года,2
2026-07-13,yandex.promopages,женский,35‑44 года,2
2026-07-13,yandex.promopages,женский,45-54 года,2
2026-07-17,yandex.promopages,Не определено,Не определено,2
2026-07-17,yandex.promopages,женский,25‑34 года,2
2026-07-18,yandex.promopages,Не определено,Не определено,2
2026-07-19,yandex.promopages,женский,25‑34 года,2
2026-07-20,yandex.promopages,женский,35‑44 года,2
2026-07-22,yandex.promopages,мужской,35‑44 года,2
2026-07-23,yandex.promopages,женский,25‑34 года,2
2026-07-24,yandex.promopages,женский,25‑34 года,2
2026-07-25,yandex.promopages,Не определено,45-54 года,2
2026-07-26,yandex.promopages,женский,45-54 года,2
2026-07-29,yandex.promopages,женский,35‑44 года,2
2026-07-30,yandex.promopages,женский,25‑34 года,2
2026-08-01,yandex.promopages,женский,25‑34 года,2
2026-08-01,yandex.promopages,женский,35‑44 года,2
2026-08-01,yandex.promopages,женский,45-54 года,2
2026-08-10,yandex.promopages,мужской,25‑34 года,2
2026-08-10,yandex.promopages,женский,35‑44 года,2
2026-08-11,yandex.promopages,женский,35‑44 года,2
2026-08-19,yandex.promopages,мужской,25‑34 года,2
2026-07-01,yandex.promopages,мужской,45-54 года,1
2026-07-01,yandex.promopages,мужской,55 лет и старше,1
2026-07-01,yandex.promopages,женский,25‑34 года,1
2026-07-02,yandex.promopages,Не определено,Не определено,1
2026-07-02,yandex.promopages,женский,младше 18 лет,1
2026-07-03,yandex.promopages,Не определено,Не определено,1
2026-07-03,yandex.promopages,Не определено,45-54 года,1
2026-07-03,yandex.promopages,мужской,25‑34 года,1
2026-07-03,yandex.promopages,мужской,35‑44 года,1
2026-07-03,yandex.promopages,женский,25‑34 года,1
2026-07-04,yandex.promopages,Не определено,Не определено,1
2026-07-04,yandex.promopages,мужской,45-54 года,1
2026-07-05,yandex.promopages,Не определено,Не определено,1
2026-07-05,yandex.promopages,женский,35‑44 года,1
2026-07-05,yandex.promopages,женский,45-54 года,1
2026-07-06,yandex.promopages,женский,35‑44 года,1
2026-07-07,yandex.promopages,Не определено,младше 18 лет,1
2026-07-08,yandex.promopages,женский,25‑34 года,1
2026-07-09,yandex.promopages,Не определено,Не определено,1
2026-07-10,yandex.promopages,Не определено,Не определено,1
2026-07-10,yandex.promopages,женский,25‑34 года,1
2026-07-10,yandex.promopages,женский,35‑44 года,1
2026-07-11,yandex.promopages,женский,35‑44 года,1
2026-07-12,yandex.promopages,мужской,35‑44 года,1
2026-07-12,yandex.promopages,женский,45-54 года,1
2026-07-13,yandex.promopages,женский,25‑34 года,1
2026-07-14,yandex.promopages,Не определено,Не определено,1
2026-07-14,yandex.promopages,женский,55 лет и старше,1
2026-07-15,yandex.promopages,женский,25‑34 года,1
2026-07-15,yandex.promopages,женский,35‑44 года,1
2026-07-16,yandex.promopages,Не определено,Не определено,1
2026-07-16,yandex.promopages,женский,25‑34 года,1
2026-07-16,yandex.promopages,женский,35‑44 года,1
2026-07-16,yandex.promopages,женский,55 лет и старше,1
2026-07-18,yandex.promopages,женский,55 лет и старше,1
2026-07-19,yandex.promopages,Не определено,Не определено,1
2026-07-19,yandex.promopages,мужской,35‑44 года,1
2026-07-19,yandex.promopages,мужской,45-54 года,1
2026-07-19,yandex.promopages,мужской,55 лет и старше,1
2026-07-19,yandex.promopages,женский,Не определено,1
2026-07-19,yandex.promopages,женский,55 лет и старше,1
2026-07-20,yandex.promopages,женский,25‑34 года,1
2026-07-20,yandex.promopages,женский,45-54 года,1
2026-07-21,yandex.promopages,мужской,45-54 года,1
2026-07-21,yandex.promopages,женский,18‑24 года,1
2026-07-21,yandex.promopages,женский,45-54 года,1
2026-07-23,yandex.promopages,мужской,45-54 года,1
2026-07-23,yandex.promopages,женский,55 лет и старше,1
2026-07-24,yandex.promopages,женский,45-54 года,1
2026-07-25,yandex.promopages,Не определено,Не определено,1
2026-07-26,yandex.promopages,женский,25‑34 года,1
2026-07-27,yandex.promopages,женский,Не определено,1
2026-07-27,yandex.promopages,женский,25‑34 года,1
2026-07-27,yandex.promopages,женский,45-54 года,1
2026-07-27,yandex.promopages,женский,55 лет и старше,1
2026-07-28,yandex.promopages,Не определено,Не определено,1
2026-07-28,yandex.promopages,мужской,35‑44 года,1
2026-07-28,yandex.promopages,женский,25‑34 года,1
2026-07-29,yandex.promopages,мужской,35‑44 года,1
2026-07-30,yandex.promopages,женский,Не определено,1
2026-07-30,yandex.promopages,женский,45-54 года,1
2026-07-31,yandex.promopages,мужской,45-54 года,1
2026-07-31,yandex.promopages,женский,45-54 года,1
2026-08-01,yandex.promopages,мужской,25‑34 года,1
2026-08-01,yandex.promopages,женский,55 лет и старше,1
2026-08-02,yandex.promopages,женский,35‑44 года,1
2026-08-04,yandex.promopages,женский,35‑44 года,1
2026-08-09,yandex.promopages,мужской,35‑44 года,1
2026-08-09,yandex.promopages,женский,45-54 года,1
2026-08-10,yandex.promopages,женский,младше 18 лет,1
2026-08-10,yandex.promopages,женский,25‑34 года,1
2026-08-10,yandex.promopages,женский,45-54 года,1
2026-08-11,yandex.promopages,женский,25‑34 года,1
2026-08-12,yandex.promopages,женский,35‑44 года,1
2026-08-12,yandex.promopages,женский,55 лет и старше,1
2026-08-18,yandex.promopages,мужской,25‑34 года,1
2026-08-18,yandex.promopages,женский,25‑34 года,1
2026-08-18,yandex.promopages,женский,45-54 года,1
2026-08-19,yandex.promopages,Не определено,Не определено,1
2026-08-20,yandex.promopages,мужской,45-54 года,1
2026-08-20,yandex.promopages,женский,35‑44 года,1
2026-08-21,yandex.promopages,женский,35‑44 года,1
2026-08-23,yandex.promopages,женский,45-54 года,1
